model	subset	seed	traj_idx	n_steps	step_idx	role	base	final	rank	is_gold
qwen3.5-9b	magentic	17	54	22	0	Orchestrator	0.0007973239989951253	0.0014294174034148455	3	False
qwen3.5-9b	magentic	17	54	22	1	Orchestrator	0.0006242286181077361	0.0012114495038986206	6	False
qwen3.5-9b	magentic	17	54	22	2	Orchestrator	0.0006685875705443323	0.0011959904804825783	7	False
qwen3.5-9b	magentic	17	54	22	3	WebSurfer	0.0007157435757108033	0.0013583931140601635	5	False
qwen3.5-9b	magentic	17	54	22	4	WebSurfer	0.0005277242162264884	0.0010935888858512044	10	False
qwen3.5-9b	magentic	17	54	22	5	WebSurfer	0.0007441930938512087	0.0013839667662978172	4	False
qwen3.5-9b	magentic	17	54	22	6	WebSurfer	0.0005150619545020163	0.0005150619545020163	19	False
qwen3.5-9b	magentic	17	54	22	7	WebSurfer	0.0007303233724087477	0.0007303233724087477	14	False
qwen3.5-9b	magentic	17	54	22	8	WebSurfer	0.0004942519008181989	0.0011123346630483866	9	False
qwen3.5-9b	magentic	17	54	22	9	WebSurfer	0.0006057711434550583	0.0006057711434550583	15	False
qwen3.5-9b	magentic	17	54	22	10	WebSurfer	0.000789449957665056	0.0014719339087605476	1	True
qwen3.5-9b	magentic	17	54	22	11	WebSurfer	0.0004944219836033881	0.001002999604679644	11	False
qwen3.5-9b	magentic	17	54	22	12	WebSurfer	0.0005193873657844961	0.0005193873657844961	18	False
qwen3.5-9b	magentic	17	54	22	13	WebSurfer	0.0005007279687561095	0.0005007279687561095	20	False
qwen3.5-9b	magentic	17	54	22	14	WebSurfer	0.0005374463507905602	0.0005374463507905602	17	False
qwen3.5-9b	magentic	17	54	22	15	WebSurfer	0.0009117200970649719	0.001437425147742033	2	False
qwen3.5-9b	magentic	17	54	22	16	WebSurfer	0.0004960500518791378	0.0009450562647543848	12	False
qwen3.5-9b	magentic	17	54	22	17	Orchestrator	0.0004664137086365372	0.0004664137086365372	22	False
qwen3.5-9b	magentic	17	54	22	18	WebSurfer	0.000449006212875247	0.0009429076453670859	13	False
qwen3.5-9b	magentic	17	54	22	19	Orchestrator	0.0005797971389256418	0.001181683735921979	8	False
qwen3.5-9b	magentic	17	54	22	20	WebSurfer	0.0004939014324918389	0.0004939014324918389	21	False
qwen3.5-9b	magentic	17	54	22	21	WebSurfer	0.0006018865969963372	0.0006018865969963372	16	False
