subset,index,trajectory_id
arc,1,gpt-4o-mini_arc_task100_1
arc,2,gpt-4o-mini_arc_task101_1
arc,3,gpt-4o-mini_arc_task102_1
arc,4,gpt-4o-mini_arc_task105_1
arc,5,gpt-4o-mini_arc_task107_1
arc,6,gpt-4o-mini_arc_task108_1
arc,7,gpt-4o-mini_arc_task109_1
arc,8,gpt-4o-mini_arc_task113_1
arc,9,gpt-4o-mini_arc_task114_1
arc,10,gpt-4o-mini_arc_task115_1
arc,11,gpt-4o-mini_arc_task117_1
arc,12,gpt-4o-mini_arc_task119_1
arc,13,gpt-4o-mini_arc_task120_1
arc,14,gpt-4o-mini_arc_task122_1
arc,15,gpt-4o-mini_arc_task123_1
arc,16,gpt-4o-mini_arc_task124_1
arc,17,gpt-4o-mini_arc_task126_1
arc,18,gpt-4o-mini_arc_task127_1
arc,19,gpt-4o-mini_arc_task130_1
arc,20,gpt-4o-mini_arc_task131_1
arc,21,gpt-4o-mini_arc_task133_1
arc,22,gpt-4o-mini_arc_task134_1
arc,23,gpt-4o-mini_arc_task135_1
arc,24,gpt-4o-mini_arc_task136_1
arc,25,gpt-4o-mini_arc_task137_1
arc,26,gpt-4o-mini_arc_task138_1
arc,27,gpt-4o-mini_arc_task13_1
arc,28,gpt-4o-mini_arc_task140_1
arc,29,gpt-4o-mini_arc_task141_1
arc,30,gpt-4o-mini_arc_task142_1
arc,31,gpt-4o-mini_arc_task145_1
arc,32,gpt-4o-mini_arc_task146_1
arc,33,gpt-4o-mini_arc_task149_1
arc,34,gpt-4o-mini_arc_task14_1
arc,35,gpt-4o-mini_arc_task152_1
arc,36,gpt-4o-mini_arc_task156_1
arc,37,gpt-4o-mini_arc_task157_1
arc,38,gpt-4o-mini_arc_task158_1
arc,39,gpt-4o-mini_arc_task159_1
arc,40,gpt-4o-mini_arc_task15_1
arc,41,gpt-4o-mini_arc_task164_1
arc,42,gpt-4o-mini_arc_task165_1
arc,43,gpt-4o-mini_arc_task166_1
arc,44,gpt-4o-mini_arc_task169_1
arc,45,gpt-4o-mini_arc_task171_1
arc,46,gpt-4o-mini_arc_task175_1
arc,47,gpt-4o-mini_arc_task176_1
arc,48,gpt-4o-mini_arc_task178_1
arc,49,gpt-4o-mini_arc_task17_1
arc,50,gpt-4o-mini_arc_task180_1
arc,51,gpt-4o-mini_arc_task181_1
arc,52,gpt-4o-mini_arc_task182_1
arc,53,gpt-4o-mini_arc_task183_1
arc,54,gpt-4o-mini_arc_task185_1
arc,55,gpt-4o-mini_arc_task186_1
arc,56,gpt-4o-mini_arc_task192_1
arc,57,gpt-4o-mini_arc_task193_1
arc,58,gpt-4o-mini_arc_task194_1
arc,59,gpt-4o-mini_arc_task196_1
arc,60,gpt-4o-mini_arc_task199_1
arc,61,gpt-4o-mini_arc_task19_1
arc,62,gpt-4o-mini_arc_task20_1
arc,63,gpt-4o-mini_arc_task21_1
arc,64,gpt-4o-mini_arc_task22_1
arc,65,gpt-4o-mini_arc_task24_1
arc,66,gpt-4o-mini_arc_task25_1
arc,67,gpt-4o-mini_arc_task27_1
arc,68,gpt-4o-mini_arc_task29_1
arc,69,gpt-4o-mini_arc_task2_1
arc,70,gpt-4o-mini_arc_task31_1
arc,71,gpt-4o-mini_arc_task33_1
arc,72,gpt-4o-mini_arc_task34_1
arc,73,gpt-4o-mini_arc_task35_1
arc,74,gpt-4o-mini_arc_task36_1
arc,75,gpt-4o-mini_arc_task39_1
arc,76,gpt-4o-mini_arc_task42_1
arc,77,gpt-4o-mini_arc_task44_1
arc,78,gpt-4o-mini_arc_task47_1
arc,79,gpt-4o-mini_arc_task50_1
arc,80,gpt-4o-mini_arc_task53_1
arc,81,gpt-4o-mini_arc_task58_1
arc,82,gpt-4o-mini_arc_task59_1
arc,83,gpt-4o-mini_arc_task60_1
arc,84,gpt-4o-mini_arc_task65_1
arc,85,gpt-4o-mini_arc_task6_1
arc,86,gpt-4o-mini_arc_task71_1
arc,87,gpt-4o-mini_arc_task74_1
arc,88,gpt-4o-mini_arc_task77_1
arc,89,gpt-4o-mini_arc_task78_1
arc,90,gpt-4o-mini_arc_task7_1
arc,91,gpt-4o-mini_arc_task80_1
arc,92,gpt-4o-mini_arc_task83_1
arc,93,gpt-4o-mini_arc_task84_1
arc,94,gpt-4o-mini_arc_task86_1
arc,95,gpt-4o-mini_arc_task88_1
arc,96,gpt-4o-mini_arc_task89_1
arc,97,gpt-4o-mini_arc_task8_1
arc,98,gpt-4o-mini_arc_task90_1
arc,99,gpt-4o-mini_arc_task91_1
arc,100,gpt-4o-mini_arc_task93_1
arc,101,gpt-5-nano_arc_task100_1
arc,102,gpt-5-nano_arc_task101_1
arc,103,gpt-5-nano_arc_task103_1
arc,104,gpt-5-nano_arc_task105_1
arc,105,gpt-5-nano_arc_task10_1
arc,106,gpt-5-nano_arc_task110_1
arc,107,gpt-5-nano_arc_task111_1
arc,108,gpt-5-nano_arc_task113_1
arc,109,gpt-5-nano_arc_task115_1
arc,110,gpt-5-nano_arc_task116_1
arc,111,gpt-5-nano_arc_task117_1
arc,112,gpt-5-nano_arc_task119_1
arc,113,gpt-5-nano_arc_task11_1
arc,114,gpt-5-nano_arc_task120_1
arc,115,gpt-5-nano_arc_task121_1
arc,116,gpt-5-nano_arc_task123_1
arc,117,gpt-5-nano_arc_task126_1
arc,118,gpt-5-nano_arc_task127_1
arc,119,gpt-5-nano_arc_task128_1
arc,120,gpt-5-nano_arc_task12_1
arc,121,gpt-5-nano_arc_task130_1
arc,122,gpt-5-nano_arc_task131_1
arc,123,gpt-5-nano_arc_task132_1
arc,124,gpt-5-nano_arc_task133_1
arc,125,gpt-5-nano_arc_task134_1
arc,126,gpt-5-nano_arc_task135_1
arc,127,gpt-5-nano_arc_task136_1
arc,128,gpt-5-nano_arc_task137_1
arc,129,gpt-5-nano_arc_task139_1
arc,130,gpt-5-nano_arc_task13_1
arc,131,gpt-5-nano_arc_task140_1
arc,132,gpt-5-nano_arc_task141_1
arc,133,gpt-5-nano_arc_task142_1
arc,134,gpt-5-nano_arc_task143_1
arc,135,gpt-5-nano_arc_task145_1
arc,136,gpt-5-nano_arc_task146_1
arc,137,gpt-5-nano_arc_task147_1
arc,138,gpt-5-nano_arc_task148_1
arc,139,gpt-5-nano_arc_task149_1
arc,140,gpt-5-nano_arc_task14_1
arc,141,gpt-5-nano_arc_task151_1
arc,142,gpt-5-nano_arc_task152_1
arc,143,gpt-5-nano_arc_task155_1
arc,144,gpt-5-nano_arc_task156_1
arc,145,gpt-5-nano_arc_task157_1
arc,146,gpt-5-nano_arc_task158_1
arc,147,gpt-5-nano_arc_task159_1
arc,148,gpt-5-nano_arc_task15_1
arc,149,gpt-5-nano_arc_task160_1
arc,150,gpt-5-nano_arc_task162_1
arc,151,gpt-5-nano_arc_task164_1
arc,152,gpt-5-nano_arc_task165_1
arc,153,gpt-5-nano_arc_task166_1
arc,154,gpt-5-nano_arc_task169_1
arc,155,gpt-5-nano_arc_task170_1
arc,156,gpt-5-nano_arc_task171_1
arc,157,gpt-5-nano_arc_task172_1
arc,158,gpt-5-nano_arc_task173_1
arc,159,gpt-5-nano_arc_task174_1
arc,160,gpt-5-nano_arc_task175_1
arc,161,gpt-5-nano_arc_task176_1
arc,162,gpt-5-nano_arc_task17_1
arc,163,gpt-5-nano_arc_task180_1
arc,164,gpt-5-nano_arc_task181_1
arc,165,gpt-5-nano_arc_task184_1
arc,166,gpt-5-nano_arc_task185_1
arc,167,gpt-5-nano_arc_task186_1
arc,168,gpt-5-nano_arc_task187_1
arc,169,gpt-5-nano_arc_task191_1
arc,170,gpt-5-nano_arc_task192_1
arc,171,gpt-5-nano_arc_task193_1
arc,172,gpt-5-nano_arc_task194_1
arc,173,gpt-5-nano_arc_task195_1
arc,174,gpt-5-nano_arc_task196_1
arc,175,gpt-5-nano_arc_task198_1
arc,176,gpt-5-nano_arc_task199_1
arc,177,gpt-5-nano_arc_task19_1
arc,178,gpt-5-nano_arc_task1_1
arc,179,gpt-5-nano_arc_task201_1
arc,180,gpt-5-nano_arc_task202_1
arc,181,gpt-5-nano_arc_task203_1
arc,182,gpt-5-nano_arc_task204_1
arc,183,gpt-5-nano_arc_task205_1
arc,184,gpt-5-nano_arc_task20_1
arc,185,gpt-5-nano_arc_task210_1
arc,186,gpt-5-nano_arc_task213_1
arc,187,gpt-5-nano_arc_task216_1
arc,188,gpt-5-nano_arc_task218_1
arc,189,gpt-5-nano_arc_task219_1
arc,190,gpt-5-nano_arc_task21_1
arc,191,gpt-5-nano_arc_task221_1
arc,192,gpt-5-nano_arc_task223_1
arc,193,gpt-5-nano_arc_task224_1
arc,194,gpt-5-nano_arc_task227_1
arc,195,gpt-5-nano_arc_task228_1
arc,196,gpt-5-nano_arc_task229_1
arc,197,gpt-5-nano_arc_task22_1
arc,198,gpt-5-nano_arc_task230_1
arc,199,gpt-5-nano_arc_task232_1
arc,200,gpt-5-nano_arc_task233_1
arc,201,gpt-5-nano_arc_task234_1
arc,202,gpt-5-nano_arc_task235_1
arc,203,gpt-5-nano_arc_task237_1
arc,204,gpt-5-nano_arc_task238_1
arc,205,gpt-5-nano_arc_task241_1
arc,206,gpt-5-nano_arc_task242_1
arc,207,gpt-5-nano_arc_task244_1
arc,208,gpt-5-nano_arc_task246_1
arc,209,gpt-5-nano_arc_task247_1
arc,210,gpt-5-nano_arc_task248_1
arc,211,gpt-5-nano_arc_task249_1
arc,212,gpt-5-nano_arc_task24_1
arc,213,gpt-5-nano_arc_task251_1
arc,214,gpt-5-nano_arc_task252_1
arc,215,gpt-5-nano_arc_task254_1
arc,216,gpt-5-nano_arc_task255_1
arc,217,gpt-5-nano_arc_task256_1
arc,218,gpt-5-nano_arc_task258_1
arc,219,gpt-5-nano_arc_task259_1
arc,220,gpt-5-nano_arc_task25_1
arc,221,gpt-5-nano_arc_task260_1
arc,222,gpt-5-nano_arc_task261_1
arc,223,gpt-5-nano_arc_task262_1
arc,224,gpt-5-nano_arc_task263_1
arc,225,gpt-5-nano_arc_task264_1
arc,226,gpt-5-nano_arc_task266_1
arc,227,gpt-5-nano_arc_task267_1
arc,228,gpt-5-nano_arc_task26_1
arc,229,gpt-5-nano_arc_task271_1
arc,230,gpt-5-nano_arc_task272_1
arc,231,gpt-5-nano_arc_task273_1
arc,232,gpt-5-nano_arc_task274_1
arc,233,gpt-5-nano_arc_task278_1
arc,234,gpt-5-nano_arc_task279_1
arc,235,gpt-5-nano_arc_task27_1
arc,236,gpt-5-nano_arc_task281_1
arc,237,gpt-5-nano_arc_task282_1
arc,238,gpt-5-nano_arc_task284_1
arc,239,gpt-5-nano_arc_task285_1
arc,240,gpt-5-nano_arc_task286_1
arc,241,gpt-5-nano_arc_task287_1
arc,242,gpt-5-nano_arc_task289_1
arc,243,gpt-5-nano_arc_task290_1
arc,244,gpt-5-nano_arc_task291_1
arc,245,gpt-5-nano_arc_task292_1
arc,246,gpt-5-nano_arc_task293_1
arc,247,gpt-5-nano_arc_task294_1
arc,248,gpt-5-nano_arc_task296_1
arc,249,gpt-5-nano_arc_task297_1
arc,250,gpt-5-nano_arc_task29_1
arc,251,gpt-5-nano_arc_task31_1
arc,252,gpt-5-nano_arc_task32_1
arc,253,gpt-5-nano_arc_task34_1
arc,254,gpt-5-nano_arc_task36_1
arc,255,gpt-5-nano_arc_task37_1
arc,256,gpt-5-nano_arc_task38_1
arc,257,gpt-5-nano_arc_task39_1
arc,258,gpt-5-nano_arc_task3_1
arc,259,gpt-5-nano_arc_task40_1
arc,260,gpt-5-nano_arc_task41_1
arc,261,gpt-5-nano_arc_task42_1
arc,262,gpt-5-nano_arc_task43_1
arc,263,gpt-5-nano_arc_task44_1
arc,264,gpt-5-nano_arc_task47_1
arc,265,gpt-5-nano_arc_task52_1
arc,266,gpt-5-nano_arc_task53_1
arc,267,gpt-5-nano_arc_task55_1
arc,268,gpt-5-nano_arc_task56_1
arc,269,gpt-5-nano_arc_task57_1
arc,270,gpt-5-nano_arc_task58_1
arc,271,gpt-5-nano_arc_task5_1
arc,272,gpt-5-nano_arc_task60_1
arc,273,gpt-5-nano_arc_task61_1
arc,274,gpt-5-nano_arc_task62_1
arc,275,gpt-5-nano_arc_task63_1
arc,276,gpt-5-nano_arc_task64_1
arc,277,gpt-5-nano_arc_task65_1
arc,278,gpt-5-nano_arc_task68_1
arc,279,gpt-5-nano_arc_task6_1
arc,280,gpt-5-nano_arc_task71_1
arc,281,gpt-5-nano_arc_task73_1
arc,282,gpt-5-nano_arc_task74_1
arc,283,gpt-5-nano_arc_task75_1
arc,284,gpt-5-nano_arc_task76_1
arc,285,gpt-5-nano_arc_task77_1
arc,286,gpt-5-nano_arc_task78_1
arc,287,gpt-5-nano_arc_task7_1
arc,288,gpt-5-nano_arc_task81_1
arc,289,gpt-5-nano_arc_task82_1
arc,290,gpt-5-nano_arc_task83_1
arc,291,gpt-5-nano_arc_task84_1
arc,292,gpt-5-nano_arc_task85_1
arc,293,gpt-5-nano_arc_task87_1
arc,294,gpt-5-nano_arc_task88_1
arc,295,gpt-5-nano_arc_task89_1
arc,296,gpt-5-nano_arc_task8_1
arc,297,gpt-5-nano_arc_task91_1
arc,298,gpt-5-nano_arc_task93_1
arc,299,gpt-5-nano_arc_task94_1
arc,300,gpt-5-nano_arc_task95_1
arc,301,gpt-5-nano_arc_task96_1
arc,302,gpt-5-nano_arc_task97_1
arc,303,gpt-5-nano_arc_task98_1
arc,304,gpt-5-nano_arc_task9_1
gaia,1,gpt-4o-mini_gaia_task110_3
gaia,2,gpt-4o-mini_gaia_task122_1
gaia,3,gpt-4o-mini_gaia_task138_1
gaia,4,gpt-4o-mini_gaia_task138_2
gaia,5,gpt-4o-mini_gaia_task146_3
gaia,6,gpt-4o-mini_gaia_task153_3
gaia,7,gpt-4o-mini_gaia_task154_2
gaia,8,gpt-4o-mini_gaia_task34_2
gaia,9,gpt-4o-mini_gaia_task40_1
gaia,10,gpt-4o-mini_gaia_task58_1
gaia,11,gpt-4o-mini_gaia_task61_2
gaia,12,gpt-4o-mini_gaia_task6_2
gaia,13,gpt-4o-mini_gaia_task6_3
gaia,14,gpt-4o-mini_gaia_task9_2
gaia,15,gpt-5-nano_gaia_level1_task116_3
gaia,16,gpt-5-nano_gaia_level1_task122_1
gaia,17,gpt-5-nano_gaia_level1_task122_2
gaia,18,gpt-5-nano_gaia_level1_task122_4
gaia,19,gpt-5-nano_gaia_level1_task124_2
gaia,20,gpt-5-nano_gaia_level1_task124_3
gaia,21,gpt-5-nano_gaia_level1_task124_4
gaia,22,gpt-5-nano_gaia_level1_task124_5
gaia,23,gpt-5-nano_gaia_level1_task130_4
gaia,24,gpt-5-nano_gaia_level1_task136_1
gaia,25,gpt-5-nano_gaia_level1_task136_2
gaia,26,gpt-5-nano_gaia_level1_task136_3
gaia,27,gpt-5-nano_gaia_level1_task136_5
gaia,28,gpt-5-nano_gaia_level1_task18_1
gaia,29,gpt-5-nano_gaia_level1_task22_1
gaia,30,gpt-5-nano_gaia_level1_task22_2
gaia,31,gpt-5-nano_gaia_level1_task34_1
gaia,32,gpt-5-nano_gaia_level1_task34_2
gaia,33,gpt-5-nano_gaia_level1_task34_3
gaia,34,gpt-5-nano_gaia_level1_task34_4
gaia,35,gpt-5-nano_gaia_level1_task34_5
gaia,36,gpt-5-nano_gaia_level1_task39_3
gaia,37,gpt-5-nano_gaia_level1_task39_4
gaia,38,gpt-5-nano_gaia_level1_task40_2
gaia,39,gpt-5-nano_gaia_level1_task41_1
gaia,40,gpt-5-nano_gaia_level1_task41_4
gaia,41,gpt-5-nano_gaia_level1_task52_2
gaia,42,gpt-5-nano_gaia_level1_task57_1
gaia,43,gpt-5-nano_gaia_level1_task57_4
gaia,44,gpt-5-nano_gaia_level1_task58_3
gaia,45,gpt-5-nano_gaia_level1_task58_5
gaia,46,gpt-5-nano_gaia_level1_task59_1
gaia,47,gpt-5-nano_gaia_level1_task59_4
gaia,48,gpt-5-nano_gaia_level1_task6_4
gaia,49,gpt-5-nano_gaia_level1_task6_5
gaia,50,gpt-5-nano_gaia_level1_task96_4
hotpot,1,gpt-4o-mini_hotpot_task12_2
hotpot,2,gpt-4o-mini_hotpot_task14_1
hotpot,3,gpt-4o-mini_hotpot_task16_1
hotpot,4,gpt-4o-mini_hotpot_task17_1
hotpot,5,gpt-4o-mini_hotpot_task19_1
hotpot,6,gpt-4o-mini_hotpot_task19_2
hotpot,7,gpt-4o-mini_hotpot_task19_3
hotpot,8,gpt-4o-mini_hotpot_task20_2
hotpot,9,gpt-4o-mini_hotpot_task24_3
hotpot,10,gpt-4o-mini_hotpot_task26_1
hotpot,11,gpt-4o-mini_hotpot_task26_2
hotpot,12,gpt-4o-mini_hotpot_task28_2
hotpot,13,gpt-4o-mini_hotpot_task31_1
hotpot,14,gpt-4o-mini_hotpot_task33_1
hotpot,15,gpt-4o-mini_hotpot_task33_2
hotpot,16,gpt-4o-mini_hotpot_task35_3
hotpot,17,gpt-4o-mini_hotpot_task36_3
hotpot,18,gpt-4o-mini_hotpot_task37_1
hotpot,19,gpt-4o-mini_hotpot_task39_2
hotpot,20,gpt-4o-mini_hotpot_task39_3
hotpot,21,gpt-4o-mini_hotpot_task3_3
hotpot,22,gpt-4o-mini_hotpot_task41_2
hotpot,23,gpt-4o-mini_hotpot_task43_1
hotpot,24,gpt-4o-mini_hotpot_task43_3
hotpot,25,gpt-4o-mini_hotpot_task47_1
hotpot,26,gpt-4o-mini_hotpot_task48_2
hotpot,27,gpt-4o-mini_hotpot_task49_1
hotpot,28,gpt-4o-mini_hotpot_task49_2
hotpot,29,gpt-4o-mini_hotpot_task52_1
hotpot,30,gpt-4o-mini_hotpot_task57_1
hotpot,31,gpt-4o-mini_hotpot_task62_1
hotpot,32,gpt-4o-mini_hotpot_task62_2
hotpot,33,gpt-4o-mini_hotpot_task62_3
hotpot,34,gpt-4o-mini_hotpot_task63_2
hotpot,35,gpt-4o-mini_hotpot_task63_3
hotpot,36,gpt-4o-mini_hotpot_task65_2
hotpot,37,gpt-4o-mini_hotpot_task65_3
hotpot,38,gpt-4o-mini_hotpot_task66_1
hotpot,39,gpt-4o-mini_hotpot_task67_1
hotpot,40,gpt-4o-mini_hotpot_task68_2
hotpot,41,gpt-4o-mini_hotpot_task68_3
hotpot,42,gpt-4o-mini_hotpot_task6_2
hotpot,43,gpt-4o-mini_hotpot_task6_3
hotpot,44,gpt-4o-mini_hotpot_task72_1
hotpot,45,gpt-4o-mini_hotpot_task74_2
hotpot,46,gpt-4o-mini_hotpot_task76_1
hotpot,47,gpt-4o-mini_hotpot_task76_2
hotpot,48,gpt-4o-mini_hotpot_task76_3
hotpot,49,gpt-4o-mini_hotpot_task78_1
hotpot,50,gpt-4o-mini_hotpot_task78_2
hotpot,51,gpt-4o-mini_hotpot_task79_2
hotpot,52,gpt-4o-mini_hotpot_task7_1
hotpot,53,gpt-4o-mini_hotpot_task80_1
hotpot,54,gpt-4o-mini_hotpot_task80_3
hotpot,55,gpt-4o-mini_hotpot_task81_1
hotpot,56,gpt-4o-mini_hotpot_task86_3
hotpot,57,gpt-4o-mini_hotpot_task89_2
hotpot,58,gpt-4o-mini_hotpot_task8_1
hotpot,59,gpt-4o-mini_hotpot_task90_1
hotpot,60,gpt-4o-mini_hotpot_task90_2
hotpot,61,gpt-4o-mini_hotpot_task90_3
hotpot,62,gpt-4o-mini_hotpot_task91_1
hotpot,63,gpt-4o-mini_hotpot_task91_3
hotpot,64,gpt-4o-mini_hotpot_task93_1
hotpot,65,gpt-4o-mini_hotpot_task93_3
hotpot,66,gpt-4o-mini_hotpot_task95_2
hotpot,67,gpt-4o-mini_hotpot_task96_3
hotpot,68,gpt-4o-mini_hotpot_task97_1
hotpot,69,gpt-4o-mini_hotpot_task99_1
hotpot,70,gpt-5-nano_hotpot_task103_2
hotpot,71,gpt-5-nano_hotpot_task105_1
hotpot,72,gpt-5-nano_hotpot_task105_2
hotpot,73,gpt-5-nano_hotpot_task105_3
hotpot,74,gpt-5-nano_hotpot_task106_1
hotpot,75,gpt-5-nano_hotpot_task107_3
hotpot,76,gpt-5-nano_hotpot_task109_1
hotpot,77,gpt-5-nano_hotpot_task110_1
hotpot,78,gpt-5-nano_hotpot_task110_2
hotpot,79,gpt-5-nano_hotpot_task110_3
hotpot,80,gpt-5-nano_hotpot_task113_2
hotpot,81,gpt-5-nano_hotpot_task116_2
hotpot,82,gpt-5-nano_hotpot_task116_3
hotpot,83,gpt-5-nano_hotpot_task119_1
hotpot,84,gpt-5-nano_hotpot_task119_3
hotpot,85,gpt-5-nano_hotpot_task11_1
hotpot,86,gpt-5-nano_hotpot_task11_3
hotpot,87,gpt-5-nano_hotpot_task120_1
hotpot,88,gpt-5-nano_hotpot_task121_1
hotpot,89,gpt-5-nano_hotpot_task121_3
hotpot,90,gpt-5-nano_hotpot_task122_1
hotpot,91,gpt-5-nano_hotpot_task122_3
hotpot,92,gpt-5-nano_hotpot_task123_1
hotpot,93,gpt-5-nano_hotpot_task123_2
hotpot,94,gpt-5-nano_hotpot_task123_3
hotpot,95,gpt-5-nano_hotpot_task124_2
hotpot,96,gpt-5-nano_hotpot_task125_1
hotpot,97,gpt-5-nano_hotpot_task125_2
hotpot,98,gpt-5-nano_hotpot_task125_3
hotpot,99,gpt-5-nano_hotpot_task127_2
hotpot,100,gpt-5-nano_hotpot_task128_1
hotpot,101,gpt-5-nano_hotpot_task128_2
hotpot,102,gpt-5-nano_hotpot_task128_3
hotpot,103,gpt-5-nano_hotpot_task12_1
hotpot,104,gpt-5-nano_hotpot_task130_1
hotpot,105,gpt-5-nano_hotpot_task131_1
hotpot,106,gpt-5-nano_hotpot_task132_2
hotpot,107,gpt-5-nano_hotpot_task132_3
hotpot,108,gpt-5-nano_hotpot_task135_1
hotpot,109,gpt-5-nano_hotpot_task136_3
hotpot,110,gpt-5-nano_hotpot_task138_2
hotpot,111,gpt-5-nano_hotpot_task138_3
hotpot,112,gpt-5-nano_hotpot_task140_2
hotpot,113,gpt-5-nano_hotpot_task140_3
hotpot,114,gpt-5-nano_hotpot_task141_2
hotpot,115,gpt-5-nano_hotpot_task142_1
hotpot,116,gpt-5-nano_hotpot_task142_3
hotpot,117,gpt-5-nano_hotpot_task143_1
hotpot,118,gpt-5-nano_hotpot_task143_2
hotpot,119,gpt-5-nano_hotpot_task143_3
hotpot,120,gpt-5-nano_hotpot_task144_1
hotpot,121,gpt-5-nano_hotpot_task145_2
hotpot,122,gpt-5-nano_hotpot_task145_3
hotpot,123,gpt-5-nano_hotpot_task14_2
hotpot,124,gpt-5-nano_hotpot_task150_2
hotpot,125,gpt-5-nano_hotpot_task150_3
hotpot,126,gpt-5-nano_hotpot_task151_1
hotpot,127,gpt-5-nano_hotpot_task151_2
hotpot,128,gpt-5-nano_hotpot_task151_3
hotpot,129,gpt-5-nano_hotpot_task154_1
hotpot,130,gpt-5-nano_hotpot_task154_2
hotpot,131,gpt-5-nano_hotpot_task154_3
hotpot,132,gpt-5-nano_hotpot_task155_1
hotpot,133,gpt-5-nano_hotpot_task155_2
hotpot,134,gpt-5-nano_hotpot_task156_2
hotpot,135,gpt-5-nano_hotpot_task156_3
hotpot,136,gpt-5-nano_hotpot_task158_1
hotpot,137,gpt-5-nano_hotpot_task158_2
hotpot,138,gpt-5-nano_hotpot_task161_1
hotpot,139,gpt-5-nano_hotpot_task161_2
hotpot,140,gpt-5-nano_hotpot_task162_2
hotpot,141,gpt-5-nano_hotpot_task163_1
hotpot,142,gpt-5-nano_hotpot_task163_3
hotpot,143,gpt-5-nano_hotpot_task164_1
hotpot,144,gpt-5-nano_hotpot_task164_3
hotpot,145,gpt-5-nano_hotpot_task166_1
hotpot,146,gpt-5-nano_hotpot_task166_3
hotpot,147,gpt-5-nano_hotpot_task167_1
hotpot,148,gpt-5-nano_hotpot_task167_2
hotpot,149,gpt-5-nano_hotpot_task167_3
hotpot,150,gpt-5-nano_hotpot_task168_1
hotpot,151,gpt-5-nano_hotpot_task168_2
hotpot,152,gpt-5-nano_hotpot_task168_3
hotpot,153,gpt-5-nano_hotpot_task169_1
hotpot,154,gpt-5-nano_hotpot_task169_2
hotpot,155,gpt-5-nano_hotpot_task169_3
hotpot,156,gpt-5-nano_hotpot_task16_1
hotpot,157,gpt-5-nano_hotpot_task16_2
hotpot,158,gpt-5-nano_hotpot_task16_3
hotpot,159,gpt-5-nano_hotpot_task170_1
hotpot,160,gpt-5-nano_hotpot_task175_1
hotpot,161,gpt-5-nano_hotpot_task175_3
hotpot,162,gpt-5-nano_hotpot_task176_1
hotpot,163,gpt-5-nano_hotpot_task176_3
hotpot,164,gpt-5-nano_hotpot_task179_1
hotpot,165,gpt-5-nano_hotpot_task179_3
hotpot,166,gpt-5-nano_hotpot_task17_1
hotpot,167,gpt-5-nano_hotpot_task17_2
hotpot,168,gpt-5-nano_hotpot_task17_3
hotpot,169,gpt-5-nano_hotpot_task185_3
hotpot,170,gpt-5-nano_hotpot_task186_1
hotpot,171,gpt-5-nano_hotpot_task186_2
hotpot,172,gpt-5-nano_hotpot_task188_2
hotpot,173,gpt-5-nano_hotpot_task189_1
hotpot,174,gpt-5-nano_hotpot_task189_2
hotpot,175,gpt-5-nano_hotpot_task189_3
