strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	source	layer_range	gamma	w	orient	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	0-8	0.0	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	0-8	0.5	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.6190476190476191	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	8-16	0.0	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	8-16	0.5	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.2857142857142857	0.6190476190476191	0.13953488372093023	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	16-24	0.0	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	16-24	0.5	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.23809523809523808	0.5952380952380952	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	24-32	0.0	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	24-32	0.5	all	negate	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.23809523809523808	0.5952380952380952	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	0-8	0.0	all	inverse	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	0-8	0.5	all	inverse	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.2619047619047619	0.4523809523809524	0.16279069767441862	0.6046511627906976
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	8-16	0.0	all	inverse	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	8-16	0.5	all	inverse	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.2619047619047619	0.4523809523809524	0.16279069767441862	0.6046511627906976
svd	act/15	mean	proj	5	10	False	False		1	val	correct-full/magentic	16-24	0.0	all	inverse	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745	0.30952380952380953	0.5714285714285714	0.16279069767441862	0.6511627906976745
