model	dataset	subset	convention	stage	seed	pooling	step_acc_test	agent_acc_test	layer_range	gamma	w	svd_orient
deepseek-8b	correct-full	magentic	val	svd	1	mean	0.4039497307001795	0.696588868940754				
deepseek-8b	correct-full	magentic	val	crr	1	mean	0.4039497307001795	0.696588868940754	0-8	0.0	all	negate
deepseek-8b	correct-full	magentic	test	svd	1	mean	0.4362657091561939	0.6804308797127468				
deepseek-8b	correct-full	magentic	test	crr	1	mean	0.4362657091561939	0.6804308797127468	0-8	0.0	all	negate
deepseek-8b	ww	algorithm-generated	val	svd	1	mean	0.238095238095238	0.4126984126984127				
deepseek-8b	ww	algorithm-generated	val	crr	1	mean	0.238095238095238	0.4126984126984127	0-8	0.0	all	negate
deepseek-8b	ww	algorithm-generated	test	svd	1	mean	0.3492063492063492	0.5079365079365079				
deepseek-8b	ww	algorithm-generated	test	crr	1	mean	0.3492063492063492	0.5079365079365079	0-8	0.0	all	negate
deepseek-8b	ww	hand-crafted	val	svd	1	mean	0.1379310344827586	0.5862068965517241				
deepseek-8b	ww	hand-crafted	val	crr	1	mean	0.1379310344827586	0.6551724137931034	8-16	0.5	all	inverse
deepseek-8b	ww	hand-crafted	test	svd	1	mean	0.2068965517241379	0.6206896551724138				
deepseek-8b	ww	hand-crafted	test	crr	1	mean	0.2068965517241379	0.6206896551724138	0-8	0.0	all	negate
deepseek-8b	traceelephant	magentic	val	svd	1	mean	0.2391304347826087	0.6521739130434783				
deepseek-8b	traceelephant	magentic	val	crr	1	mean	0.2391304347826087	0.6521739130434783	0-8	0.0	all	negate
deepseek-8b	traceelephant	magentic	test	svd	1	mean	0.3043478260869565	0.6304347826086957				
deepseek-8b	traceelephant	magentic	test	crr	1	mean	0.3043478260869565	0.6304347826086957	0-8	0.0	all	negate
deepseek-8b	traceelephant	captain	val	svd	1	mean	0.1627906976744186	0.6511627906976745				
deepseek-8b	traceelephant	captain	val	crr	1	mean	0.1627906976744186	0.6511627906976745	0-8	0.5	all	negate
deepseek-8b	traceelephant	captain	test	svd	1	mean	0.3255813953488372	0.6511627906976745				
deepseek-8b	traceelephant	captain	test	crr	1	mean	0.3255813953488372	0.6511627906976745	0-8	0.0	all	negate
