strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	source	layer_range	gamma	w	orient	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.0	1	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.0	2	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.0	3	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.0	4	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.0	5	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.0	all	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.1	1	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6222222222222222	0.10869565217391304	0.5217391304347826
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.1	2	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6222222222222222	0.15217391304347827	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.1	3	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6222222222222222	0.13043478260869565	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.1	4	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6	0.15217391304347827	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.1	5	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.1	all	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6	0.10869565217391304	0.5217391304347826
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.2	1	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6444444444444445	0.15217391304347827	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.2	2	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6444444444444445	0.13043478260869565	0.5434782608695652
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.2	3	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6444444444444445	0.10869565217391304	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.2	4	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6	0.13043478260869565	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.2	5	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6222222222222222	0.13043478260869565	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.2	all	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6444444444444445	0.13043478260869565	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.3	1	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.15555555555555556	0.6444444444444445	0.15217391304347827	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.3	2	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.17777777777777778	0.6666666666666666	0.15217391304347827	0.5869565217391305
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.3	3	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.17777777777777778	0.6444444444444445	0.13043478260869565	0.5652173913043478
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.3	4	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6222222222222222	0.15217391304347827	0.5869565217391305
svd	act/7	last	proj	11	16	True	False		1	val	correct-full/magentic	0-2	0.3	5	negate	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652	0.2	0.6444444444444445	0.15217391304347827	0.5869565217391305
