position	pooling	method	c_begin	c_end	centered	weighted	direction	k	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
act/8	last	proj	0	18	False	False	asc	1	0.4991023339317774	0.7109515260323159	0.5296229802513465	0.7163375224416517
act/8	last	proj	0	19	False	False	asc	1	0.5008976660682226	0.7109515260323159	0.5296229802513465	0.7163375224416517
act/4	last	proj	0	20	False	False	asc	1	0.47217235188509876	0.7163375224416517	0.5278276481149012	0.7217235188509874
act/8	last	proj	0	16	False	False	asc	1	0.49730700179533216	0.7127468581687613	0.5278276481149012	0.718132854578097
act/4	last	proj	0	18	False	False	asc	1	0.47755834829443444	0.7163375224416517	0.5278276481149012	0.7217235188509874
act/16	last	proj	0	3	False	False	asc	1	0.5044883303411131	0.7145421903052065	0.526032315978456	0.6642728904847397
act/8	last	proj	0	20	False	False	asc	1	0.49730700179533216	0.7109515260323159	0.526032315978456	0.7163375224416517
act/8	last	proj	0	17	False	False	asc	1	0.4955116696588869	0.7109515260323159	0.5242369838420108	0.7163375224416517
act/8	last	proj	0	15	False	False	asc	1	0.49730700179533216	0.7109515260323159	0.5242369838420108	0.7163375224416517
act/16	last	proj	0	17	False	True	asc	1	0.4955116696588869	0.7091561938958707	0.5242369838420108	0.6822262118491921
act/16	last	proj	0	15	False	True	asc	1	0.4955116696588869	0.7109515260323159	0.5242369838420108	0.6804308797127468
act/4	last	proj	0	19	False	False	asc	1	0.4793536804308797	0.7163375224416517	0.5242369838420108	0.7217235188509874
act/16	last	proj	0	18	False	True	asc	1	0.4955116696588869	0.7091561938958707	0.5242369838420108	0.6822262118491921
act/17	last	proj	0	6	False	True	asc	1	0.48473967684021546	0.6822262118491921	0.5242369838420108	0.6588868940754039
act/16	last	proj	0	19	False	True	asc	1	0.4955116696588869	0.7073608617594255	0.5242369838420108	0.6822262118491921
act/16	last	proj	0	20	False	True	asc	1	0.4955116696588869	0.7055655296229802	0.5242369838420108	0.6822262118491921
act/16	last	proj	0	16	False	True	asc	1	0.4955116696588869	0.7091561938958707	0.5242369838420108	0.6804308797127468
act/8	last	proj	0	19	False	True	asc	1	0.49012567324955114	0.7127468581687613	0.5224416517055656	0.7073608617594255
act/8	last	proj	0	18	False	True	asc	1	0.49012567324955114	0.7127468581687613	0.5224416517055656	0.7073608617594255
act/8	last	proj	0	16	False	True	asc	1	0.49012567324955114	0.7127468581687613	0.5224416517055656	0.7073608617594255
act/16	last	proj	0	14	False	True	asc	1	0.4955116696588869	0.7091561938958707	0.5224416517055656	0.6804308797127468
act/16	last	proj	0	5	False	True	asc	1	0.4991023339317774	0.7019748653500898	0.5224416517055656	0.6858168761220825
act/8	last	proj	0	15	False	True	asc	1	0.4865350089766607	0.7127468581687613	0.5224416517055656	0.7073608617594255
act/10	last	proj	0	17	False	False	asc	1	0.4955116696588869	0.7127468581687613	0.5224416517055656	0.7163375224416517
act/16	last	proj	0	6	False	True	asc	1	0.5008976660682226	0.7055655296229802	0.5224416517055656	0.6804308797127468
act/13	last	proj	0	3	False	False	asc	1	0.4829443447037702	0.7127468581687613	0.5224416517055656	0.6947935368043088
act/13	last	proj	0	3	False	True	asc	1	0.48473967684021546	0.7055655296229802	0.5224416517055656	0.6894075403949731
