strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/31_normed	last	proj	0	15	False	False		1	test	0.5080789946140036	0.7091561938958707	0.518850987432675	0.6876122082585279
svd	act/8	last	proj	0	18	False	False		2	test	0.4991023339317774	0.7109515260323159	0.5296229802513465	0.7163375224416517
svd	act/8	last	proj	0	19	False	False		3	test	0.5098743267504489	0.725314183123878	0.5170556552962298	0.7235188509874326
svd	act/12	mean	proj	0	3	False	False		1	test	0.5727109515260324	0.7199281867145422	0.5493716337522442	0.7073608617594255
svd	act/12	mean	proj	0	3	False	False		2	test	0.5368043087971275	0.7217235188509874	0.5745062836624776	0.7073608617594255
svd	act/12	mean	proj	0	3	False	False		3	test	0.5763016157989228	0.7342908438061041	0.5601436265709157	0.7235188509874326
svd	act/31_normed	last	proj	0	16	False	False		1	val	0.5170556552962298	0.7109515260323159	0.5152603231597845	0.6894075403949731
svd	act/9	last	proj	1	3	False	False		2	val	0.5062836624775583	0.696588868940754	0.5134649910233393	0.6786355475763016
svd	act/9	last	proj	1	3	False	False		3	val	0.5350089766606823	0.7019748653500898	0.4793536804308797	0.6876122082585279
svd	act/16	mean	proj	0	5	False	False		1	val	0.6014362657091562	0.703770197486535	0.5403949730700179	0.7019748653500898
svd	act/12	mean	proj	0	2	False	False		2	val	0.5439856373429084	0.7145421903052065	0.5565529622980251	0.7055655296229802
svd	act/12	mean	proj	0	2	False	False		3	val	0.578096947935368	0.7163375224416517	0.5314183123877917	0.7163375224416517
