strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/18	last	proj	2	17	False	False		1	test	0.11904761904761904	0.42857142857142855	0.3488372093023256	0.627906976744186
svd	act/21	last	proj	6	13	True	False		2	test	0.09523809523809523	0.5476190476190477	0.32558139534883723	0.6744186046511628
svd	act/23	last	proj	3	10	False	False		3	test	0.2619047619047619	0.5714285714285714	0.4186046511627907	0.7209302325581395
svd	act/14	mean	proj	6	8	True	False		1	test	0.19047619047619047	0.5714285714285714	0.32558139534883723	0.6511627906976745
svd	act/28	mean	proj	10	13	True	False		2	test	0.11904761904761904	0.6428571428571429	0.3023255813953488	0.6046511627906976
svd	act/29	mean	proj	0	5	False	False		3	test	0.21428571428571427	0.5476190476190477	0.4418604651162791	0.6744186046511628
svd	act/23	last	proj	4	12	False	False		1	val	0.42857142857142855	0.6666666666666666	0.18604651162790697	0.5581395348837209
svd	act/24	last	proj	2	15	False	False		2	val	0.42857142857142855	0.7380952380952381	0.16279069767441862	0.5348837209302325
svd	act/25	last	proj	0	12	True	False		3	val	0.30952380952380953	0.7380952380952381	0.20930232558139536	0.627906976744186
svd	act/27	mean	proj	0	7	False	False		1	val	0.38095238095238093	0.6904761904761905	0.20930232558139536	0.5813953488372093
svd	act/29	mean	proj	0	5	False	False		2	val	0.35714285714285715	0.6428571428571429	0.27906976744186046	0.5813953488372093
svd	act/16	mean	proj	5	9	True	False		3	val	0.30952380952380953	0.6904761904761905	0.20930232558139536	0.627906976744186
