traj_idx	step_idx	n_tokens	mean_nll
0	0	233	3.6459974035173013
0	1	14	2.5750808715820312
0	2	133	2.896549081443844
0	3	14	2.285622869219099
0	4	214	1.9491080881279206
0	5	14	1.8575288227626257
0	6	336	1.6455345153808594
0	7	238	2.2320702817259717
0	8	97	1.9707528340447809
1	0	243	3.62719224215535
1	1	235	2.6770466256648935
1	2	14	2.5547643389020647
1	3	310	1.61053466796875
1	4	14	2.499668938773019
1	5	176	2.511181051080877
1	6	403	1.924588111139113
1	7	385	2.4626908735795454
2	0	218	3.9670004188467605
2	1	248	2.293455062373992
2	2	14	2.483504159109933
2	3	114	2.2872812371504936
2	4	14	2.258272579738072
2	5	132	1.2040994817560369
2	6	14	2.277003833225795
2	7	190	1.5951550935444079
2	8	14	2.1083338601248607
2	9	286	1.2202119627198973
2	10	275	2.5191796875
2	11	271	2.4544547105627306
3	0	229	3.7022033424877185
3	1	526	2.0959978575035647
3	2	14	2.700104304722377
3	3	198	1.7879311918008207
3	4	14	2.2780538286481584
3	5	244	1.1180342377209274
3	6	13	2.1757711263803334
3	7	332	1.4613393760589233
3	8	234	2.0347660423344016
3	9	74	1.002419342865815
4	0	230	3.5511424189028533
4	1	163	2.481558021592216
4	2	14	2.675729751586914
4	3	140	2.0501031058175223
4	4	14	2.562447956630162
4	5	174	1.645733712733477
4	6	14	2.185468946184431
4	7	215	0.889594357512718
4	8	13	2.403744330772987
4	9	233	1.930310949235515
4	10	321	1.9755406840196652
4	11	385	2.2405974152800323
5	0	230	3.5323751698369565
5	1	193	2.42006355246114
5	2	14	2.294938768659319
5	3	267	1.4489944972349016
5	4	14	2.389793940952846
5	5	333	1.6191083661786787
5	6	13	2.2348409799429088
5	7	97	1.9300275979582797
5	8	360	2.0814312405056423
5	9	108	1.2901153564453125
6	0	233	3.6459974035173013
6	1	224	2.244572230747768
6	2	14	2.809347152709961
6	3	229	1.369151419427197
6	4	14	2.5592782156808034
6	5	116	2.1708637106007544
6	6	14	2.2351038796561107
6	7	206	2.4834156221556434
6	8	14	2.117503983633859
6	9	317	1.2025215798748028
6	10	13	2.3124540769136868
6	11	418	1.585078189247533
6	12	13	2.130094821636493
6	13	458	1.2020029126296397
6	14	14	1.9308537074497767
6	15	158	2.2603933599930777
6	16	14	1.8955268859863281
6	17	121	0.7802165638316761
6	18	14	1.8481398991176061
6	19	170	2.4560561236213236
6	20	13	1.9877075782189002
6	21	305	0.8504406538165984
6	22	12	2.55796750386556
6	23	86	1.943538222202035
6	24	14	1.9670946938650948
6	25	358	0.4996726179922093
6	26	13	2.126145729651818
6	27	85	0.8688763786764706
6	28	14	2.034580503191267
6	29	358	0.13048509778923162
6	30	12	2.3240836461385093
6	31	84	0.5591226305280413
6	32	14	1.9994728905814034
6	33	358	0.12161489305549494
6	34	13	2.125444852388822
6	35	85	0.5322010264677159
6	36	14	1.9161626270839147
6	37	358	0.1110972399152191
6	38	12	2.341379960378011
6	39	84	0.4858622323899042
6	40	14	1.9568377903529577
6	41	358	0.11189179447110138
6	42	13	2.2335577744704027
6	43	85	0.5186402264763327
6	44	14	2.0470303126743863
6	45	358	0.10664413494770754
6	46	12	2.315326531728109
6	47	84	0.48383594694591703
6	48	14	2.0508627210344588
6	49	358	0.10907623887728046
6	50	14	2.1614465713500977
6	51	345	0.5064557503962862
6	52	418	1.9235971259158193
6	53	120	2.732794698079427
7	0	230	3.5511424189028533
7	1	265	2.5173049638856133
7	2	14	2.477753230503627
7	3	134	2.515939740992304
7	4	13	2.4330629202035756
7	5	132	1.471177303429806
