dataset	model	subset	seeds	position	c_begin	c_end	row	lambda	selected	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	base	0.0	True	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.1	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.2	True	0.8135964912280701	0.8662280701754386	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.3	False	0.8114035087719298	0.8662280701754386	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.4	False	0.8092105263157894	0.8662280701754386	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.5	False	0.8092105263157894	0.8662280701754386	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.6	False	0.8092105263157894	0.8662280701754386	0.8142076502732241	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.7	False	0.8114035087719298	0.8662280701754386	0.8142076502732241	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.8	False	0.8092105263157894	0.868421052631579	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	0.9	False	0.8114035087719298	0.868421052631579	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-z	1.0	False	0.8114035087719298	0.868421052631579	0.8087431693989071	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.1	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.2	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.3	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.4	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.5	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.6	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.7	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.8	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	0.9	False	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	temporal-raw	1.0	True	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	earliest-top5	0.0	True	0.013157894736842105	0.10526315789473684	0.02185792349726776	0.10382513661202186
correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	soap		True	0.8157894736842106	0.8640350877192983	0.8087431693989071	0.8633879781420766
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	base	0.0	True	0.68	0.7866666666666666	0.5333333333333333	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.1	False	0.6933333333333334	0.7866666666666666	0.5333333333333333	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.2	False	0.6933333333333334	0.7866666666666666	0.5333333333333333	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.3	True	0.6933333333333334	0.7866666666666666	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.4	False	0.68	0.7866666666666666	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.5	False	0.6666666666666666	0.7866666666666666	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.6	False	0.6533333333333333	0.7866666666666666	0.5666666666666667	0.5333333333333333
