dataset	model	subset	seeds	fraction	n_train	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
traceelephant	deepseek-8b	magentic	15,16,17	1/3	9,9,9	act/10	0	4	base		0.0		0.3115942028985507	0.6159420289855073	0.2222222222222222	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	1/3	9,9,9	act/10	0	4	soap	24-32	0.1	5	0.3188405797101449	0.6304347826086957	0.2407407407407407	0.5
traceelephant	deepseek-8b	magentic	15,16,17	2/3	18,18,18	act/9	0	5	base		0.0		0.3043478260869565	0.6159420289855073	0.1666666666666666	0.5555555555555556
traceelephant	deepseek-8b	magentic	15,16,17	2/3	18,18,18	act/9	0	5	soap	24-32	0.1	1	0.3043478260869565	0.6231884057971014	0.2037037037037037	0.5370370370370371
traceelephant	deepseek-8b	magentic	15,16,17	1	27,27,27	act/10	0	4	base		0.0		0.2971014492753623	0.6231884057971014	0.1666666666666666	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	1	27,27,27	act/10	0	4	soap	24-32	0.1	1	0.3043478260869565	0.6231884057971014	0.1851851851851852	0.5185185185185185
traceelephant	deepseek-8b	captain	22,23,24	1/3	8,8,8	act/31_normed	0	16	base		0.0		0.372093023255814	0.6124031007751938	0.2549019607843137	0.5686274509803922
traceelephant	deepseek-8b	captain	22,23,24	1/3	8,8,8	act/31_normed	0	16	soap	8-16	0.2	all	0.4186046511627907	0.6434108527131782	0.2745098039215686	0.5882352941176471
traceelephant	deepseek-8b	captain	22,23,24	2/3	17,17,17	act/31_normed	0	17	base		0.0		0.3953488372093023	0.6356589147286821	0.2352941176470588	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	2/3	17,17,17	act/31_normed	0	17	soap	8-16	0.2	all	0.4263565891472868	0.6511627906976744	0.3333333333333333	0.6274509803921569
traceelephant	deepseek-8b	captain	22,23,24	1	25,25,25	act/31_normed	0	18	base		0.0		0.4031007751937984	0.6356589147286822	0.2549019607843137	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	1	25,25,25	act/31_normed	0	18	soap	8-16	0.2	all	0.4263565891472868	0.6511627906976744	0.3333333333333333	0.6274509803921569
traceelephant	qwen3.5-9b	magentic	15,16,17	1/3	9,9,9	act/23	0	2	base		0.0		0.217391304347826	0.6159420289855072	0.1296296296296296	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	1/3	9,9,9	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6449275362318841	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	2/3	18,18,18	act/23	0	2	base		0.0		0.217391304347826	0.6159420289855072	0.1296296296296296	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	2/3	18,18,18	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5
traceelephant	qwen3.5-9b	magentic	15,16,17	1	27,27,27	act/23	0	2	base		0.0		0.2101449275362319	0.6159420289855072	0.1481481481481481	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	1	27,27,27	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	captain	22,23,24	1/3	8,8,8	act/23	0	19	base		0.0		0.3333333333333333	0.6046511627906976	0.1764705882352941	0.5882352941176471
traceelephant	qwen3.5-9b	captain	22,23,24	1/3	8,8,8	act/23	0	19	soap	6-8	0.2	all	0.3488372093023256	0.6124031007751938	0.2352941176470588	0.6274509803921569
traceelephant	qwen3.5-9b	captain	22,23,24	2/3	17,17,17	act/23	0	3	base		0.0		0.3333333333333333	0.5891472868217055	0.196078431372549	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	2/3	17,17,17	act/23	0	3	soap	2-4	0.2	1	0.3488372093023256	0.6201550387596899	0.1764705882352941	0.6078431372549019
traceelephant	qwen3.5-9b	captain	22,23,24	1	25,25,25	act/23	0	3	base		0.0		0.3333333333333333	0.5813953488372093	0.196078431372549	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	1	25,25,25	act/23	0	3	soap	6-8	0.1	5	0.3565891472868217	0.6046511627906976	0.2156862745098039	0.5882352941176471
ww	deepseek-8b	algorithm-generated	3,4,5	1/3	12,12,12	act/6	2	3	base		0.0		0.3650793650793651	0.5661375661375662	0.2564102564102564	0.4358974358974359
ww	deepseek-8b	algorithm-generated	3,4,5	1/3	12,12,12	act/6	2	3	soap	8-16	0.1	2	0.3703703703703704	0.5767195767195767	0.2564102564102564	0.4358974358974359
ww	deepseek-8b	algorithm-generated	3,4,5	2/3	25,25,25	act/3	1	5	base		0.0		0.3862433862433862	0.5925925925925927	0.2948717948717949	0.564102564102564
ww	deepseek-8b	algorithm-generated	3,4,5	2/3	25,25,25	act/3	1	5	soap	24-32	0.8	1	0.4603174603174603	0.6296296296296297	0.3461538461538461	0.6025641025641025
ww	deepseek-8b	algorithm-generated	3,4,5	1	37,37,37	act/3	1	5	base		0.0		0.3862433862433862	0.5873015873015873	0.282051282051282	0.5512820512820512
ww	deepseek-8b	algorithm-generated	3,4,5	1	37,37,37	act/3	1	5	soap	24-32	1.0	1	0.455026455026455	0.6190476190476191	0.3461538461538461	0.6153846153846154
ww	deepseek-8b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	7	base		0.0		0.2758620689655172	0.6436781609195402	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	7	soap	16-24	0.1	4	0.2988505747126437	0.6551724137931035	0.1666666666666666	0.638888888888889
ww	deepseek-8b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	4	base		0.0		0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	4	soap	8-16	0.0	all	0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	1	17,17,17	act/31	0	4	base		0.0		0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	1	17,17,17	act/31	0	4	soap	8-16	0.0	all	0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	qwen3.5-9b	algorithm-generated	3,4,5	1/3	12,12,12	act/27	1	11	base		0.0		0.3597883597883597	0.5026455026455027	0.3333333333333333	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	1/3	12,12,12	act/27	1	11	soap	0-2	0.8	1	0.4338624338624338	0.5714285714285715	0.4102564102564103	0.5897435897435898
ww	qwen3.5-9b	algorithm-generated	3,4,5	2/3	25,25,25	act/27	1	12	base		0.0		0.3809523809523809	0.5502645502645502	0.358974358974359	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	2/3	25,25,25	act/27	1	12	soap	0-2	0.2	1	0.4444444444444444	0.5925925925925926	0.4102564102564103	0.5512820512820512
ww	qwen3.5-9b	algorithm-generated	3,4,5	1	37,37,37	act/27	1	7	base		0.0		0.3915343915343914	0.5238095238095238	0.3846153846153846	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	1	37,37,37	act/27	1	7	soap	0-2	0.6	1	0.4761904761904761	0.6031746031746031	0.4487179487179487	0.576923076923077
ww	qwen3.5-9b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	6	base		0.0		0.3333333333333333	0.6781609195402298	0.1944444444444444	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	6	soap	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.1944444444444444	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	5	base		0.0		0.3333333333333333	0.6781609195402298	0.1944444444444444	0.638888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	5	soap	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.1944444444444444	0.638888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	1	17,17,17	act/31	0	5	base		0.0		0.3333333333333333	0.6781609195402298	0.1944444444444444	0.638888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	1	17,17,17	act/31	0	5	soap	4-6	0.1	2	0.3448275862068966	0.6781609195402298	0.1944444444444444	0.6111111111111112
