dataset	model	subset	seeds	fraction	n_train	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	deepseek-8b	algorithm-generated	3,4,5	1/3	12,12,12	act/6	2	3	base		0.0		0.3650793650793651	0.5661375661375662	0.2564102564102564	0.4358974358974359
ww	deepseek-8b	algorithm-generated	3,4,5	1/3	12,12,12	act/6	2	3	soap	8-16	0.1	2	0.3703703703703704	0.5767195767195767	0.2564102564102564	0.4358974358974359
ww	deepseek-8b	algorithm-generated	3,4,5	2/3	25,25,25	act/3	1	5	base		0.0		0.3862433862433862	0.5925925925925927	0.2948717948717949	0.564102564102564
ww	deepseek-8b	algorithm-generated	3,4,5	2/3	25,25,25	act/3	1	5	soap	24-32	0.8	1	0.4603174603174603	0.6296296296296297	0.3461538461538461	0.6025641025641025
ww	deepseek-8b	algorithm-generated	3,4,5	1	37,37,37	act/3	1	5	base		0.0		0.3862433862433862	0.5873015873015873	0.28205128205128205	0.5512820512820512
ww	deepseek-8b	algorithm-generated	3,4,5	1	37,37,37	act/3	1	5	soap	24-32	1.0	1	0.45502645502645506	0.6190476190476191	0.3461538461538461	0.6153846153846154
ww	deepseek-8b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	7	base		0.0		0.27586206896551724	0.6436781609195402	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	7	soap	16-24	0.1	4	0.2988505747126437	0.6551724137931035	0.16666666666666666	0.638888888888889
ww	deepseek-8b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	4	base		0.0		0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	4	soap	8-16	0.0	all	0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	1	17,17,17	act/31	0	4	base		0.0		0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	1	17,17,17	act/31	0	4	soap	8-16	0.0	all	0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
