column	with_gt	judge	method	step_acc	agent_acc	n_subsets	family	train_seed
WW-AG	False	deepseek-8b	oat.s42	0.13227513227513227	0.4497354497354497	1	oat	42
WW-AG	False	deepseek-8b	oat.s43	0.12169312169312169	0.4021164021164021	1	oat	43
WW-AG	False	deepseek-8b	oat.s44	0.12169312169312169	0.42328042328042326	1	oat	44
WW-AG	False	deepseek-8b	oat.s45	0.13227513227513227	0.4444444444444444	1	oat	45
WW-AG	False	deepseek-8b	oat.s46	0.12698412698412698	0.3968253968253968	1	oat	46
WW-AG	False	deepseek-8b	stepfinder.s42	0.2169312169312169	0.5132275132275131	1	stepfinder	42
WW-AG	False	deepseek-8b	stepfinder.s43	0.25396825396825395	0.5185185185185185	1	stepfinder	43
WW-AG	False	deepseek-8b	stepfinder.s44	0.17460317460317457	0.49206349206349204	1	stepfinder	44
WW-AG	False	deepseek-8b	stepfinder.s45	0.1111111111111111	0.43915343915343913	1	stepfinder	45
WW-AG	False	deepseek-8b	stepfinder.s46	0.19047619047619047	0.48677248677248675	1	stepfinder	46
WW-AG	False	qwen3-embedding-0.6b	stepfinder.s42	0.23809523809523805	0.4973544973544974	1	stepfinder	42
WW-AG	False	qwen3-embedding-0.6b	stepfinder.s43	0.25396825396825395	0.4656084656084656	1	stepfinder	43
WW-AG	False	qwen3-embedding-0.6b	stepfinder.s44	0.23809523809523805	0.4708994708994709	1	stepfinder	44
WW-AG	False	qwen3-embedding-0.6b	stepfinder.s45	0.19576719576719573	0.4497354497354497	1	stepfinder	45
WW-AG	False	qwen3-embedding-0.6b	stepfinder.s46	0.2751322751322751	0.4656084656084656	1	stepfinder	46
WW-AG	False	qwen3.5-9b	oat.s42	0.14814814814814814	0.41269841269841273	1	oat	42
WW-AG	False	qwen3.5-9b	oat.s43	0.15873015873015872	0.3862433862433862	1	oat	43
WW-AG	False	qwen3.5-9b	oat.s44	0.15873015873015872	0.4021164021164021	1	oat	44
WW-AG	False	qwen3.5-9b	oat.s45	0.17989417989417988	0.41269841269841273	1	oat	45
WW-AG	False	qwen3.5-9b	oat.s46	0.19047619047619047	0.41269841269841273	1	oat	46
WW-AG	False	qwen3.5-9b	stepfinder.s42	0.1693121693121693	0.3439153439153439	1	stepfinder	42
WW-AG	False	qwen3.5-9b	stepfinder.s43	0.13756613756613756	0.4444444444444444	1	stepfinder	43
WW-AG	False	qwen3.5-9b	stepfinder.s44	0.14814814814814814	0.3386243386243386	1	stepfinder	44
WW-AG	False	qwen3.5-9b	stepfinder.s45	0.12698412698412698	0.3862433862433862	1	stepfinder	45
WW-AG	False	qwen3.5-9b	stepfinder.s46	0.21164021164021163	0.4497354497354497	1	stepfinder	46
WW-AG	True	deepseek-8b	oat.s42	0.19576719576719573	0.4761904761904762	1	oat	42
WW-AG	True	deepseek-8b	oat.s43	0.20634920634920637	0.43915343915343913	1	oat	43
WW-AG	True	deepseek-8b	oat.s44	0.2222222222222222	0.48148148148148145	1	oat	44
WW-AG	True	deepseek-8b	oat.s45	0.20634920634920637	0.4603174603174603	1	oat	45
WW-AG	True	deepseek-8b	oat.s46	0.21164021164021163	0.4656084656084656	1	oat	46
WW-AG	True	deepseek-8b	stepfinder.s42	0.2169312169312169	0.42857142857142855	1	stepfinder	42
WW-AG	True	deepseek-8b	stepfinder.s43	0.22751322751322753	0.5026455026455027	1	stepfinder	43
