model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	algorithm-generated	svd	3,4,5	act/27	1	10			0.0		0.37566137566137564	0.5608465608465608	0.3461538461538461	0.5
qwen3.5-9b	algorithm-generated	backprop	3,4,5	act/27	1	10	backprop	2-4	0.1	all	0.3862433862433862	0.5555555555555555	0.3717948717948718	0.5256410256410257
qwen3.5-9b	algorithm-generated	succ-strong	3,4,5	act/27	1	10	succ-strong	2-4	0.1	all	0.3862433862433862	0.5555555555555555	0.3717948717948718	0.5256410256410257
qwen3.5-9b	algorithm-generated	succ-near	3,4,5	act/27	1	10	succ-near	2-4	0.1	all	0.3862433862433862	0.5555555555555555	0.3717948717948718	0.5256410256410257
qwen3.5-9b	hand-crafted	svd	13,14,15	act/31	0	5			0.0		0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
qwen3.5-9b	hand-crafted	backprop	13,14,15	act/31	0	5	backprop	4-6	0.1	2	0.3448275862068966	0.6781609195402298	0.19444444444444442	0.6111111111111112
qwen3.5-9b	hand-crafted	succ-strong	13,14,15	act/31	0	5	succ-strong	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
qwen3.5-9b	hand-crafted	succ-near	13,14,15	act/31	0	5	succ-near	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
deepseek-8b	algorithm-generated	svd	3,4,5	act/3	1	5			0.0		0.40211640211640204	0.5714285714285714	0.282051282051282	0.564102564102564
deepseek-8b	algorithm-generated	backprop	3,4,5	act/3	1	5	backprop	8-16	0.6	2	0.44444444444444436	0.6137566137566138	0.30769230769230765	0.6025641025641025
deepseek-8b	algorithm-generated	succ-strong	3,4,5	act/3	1	5	succ-strong	8-16	1.0	3	0.44444444444444436	0.6084656084656085	0.37179487179487175	0.641025641025641
deepseek-8b	algorithm-generated	succ-near	3,4,5	act/3	1	5	succ-near	8-16	0.8	2	0.4391534391534391	0.6031746031746033	0.358974358974359	0.6153846153846153
deepseek-8b	hand-crafted	svd	13,14,15	act/31	0	4			0.0		0.2988505747126436	0.6551724137931035	0.11111111111111106	0.6111111111111112
deepseek-8b	hand-crafted	backprop	13,14,15	act/31	0	4	backprop	8-16	0.0	all	0.2988505747126436	0.6551724137931035	0.11111111111111106	0.6111111111111112
deepseek-8b	hand-crafted	succ-strong	13,14,15	act/31	0	4	succ-strong	8-16	0.0	all	0.2988505747126436	0.6551724137931035	0.11111111111111106	0.6111111111111112
deepseek-8b	hand-crafted	succ-near	13,14,15	act/31	0	4	succ-near	8-16	0.0	all	0.2988505747126436	0.6551724137931035	0.11111111111111106	0.6111111111111112
