model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	algorithm-generated	40	act/27	1	12	base	-	0.0	-	0.2692307692307692	0.5	0.7692307692307693	0.9230769230769231	0.49206349206349204	0.6349206349206349	0.7619047619047619	0.9523809523809523
qwen3.5-9b	algorithm-generated	38	act/27	1	11	backprop	0-2	1.0	all	0.19230769230769232	0.34615384615384615	0.5384615384615384	0.8076923076923077	0.49206349206349204	0.6666666666666666	0.6031746031746031	0.9047619047619048
qwen3.5-9b	algorithm-generated	38	act/27	1	11	succ-strong	0-2	1.0	all	0.19230769230769232	0.34615384615384615	0.5384615384615384	0.8076923076923077	0.49206349206349204	0.6666666666666666	0.6031746031746031	0.9047619047619048
qwen3.5-9b	algorithm-generated	38	act/27	1	11	succ-near	0-2	1.0	all	0.19230769230769232	0.34615384615384615	0.5384615384615384	0.8076923076923077	0.49206349206349204	0.6666666666666666	0.6031746031746031	0.9047619047619048
qwen3.5-9b	algorithm-generated	40	act/23	1	12	base	-	0.0	-	0.23076923076923078	0.5384615384615384	0.7307692307692307	0.8846153846153846	0.47619047619047616	0.6507936507936508	0.746031746031746	0.9682539682539683
qwen3.5-9b	algorithm-generated	40	act/27	1	13	base	-	0.0	-	0.3076923076923077	0.5384615384615384	0.7307692307692307	0.9230769230769231	0.47619047619047616	0.6507936507936508	0.746031746031746	0.9523809523809523
qwen3.5-9b	algorithm-generated	38	act/27	1	11	succ-near	0-2	0.6	3	0.23076923076923078	0.38461538461538464	0.5384615384615384	0.7692307692307693	0.47619047619047616	0.6349206349206349	0.6190476190476191	0.9047619047619048
qwen3.5-9b	algorithm-generated	38	act/27	1	11	succ-near	0-2	0.6	4	0.19230769230769232	0.38461538461538464	0.5384615384615384	0.7692307692307693	0.47619047619047616	0.6349206349206349	0.6190476190476191	0.9047619047619048
qwen3.5-9b	algorithm-generated	38	act/27	1	11	succ-near	0-2	1.0	5	0.15384615384615385	0.3076923076923077	0.5	0.8076923076923077	0.47619047619047616	0.6507936507936508	0.6031746031746031	0.9047619047619048
qwen3.5-9b	algorithm-generated	40	act/27	1	11	backprop	0-2	0.8	1	0.2692307692307692	0.5384615384615384	0.6153846153846154	0.8461538461538461	0.47619047619047616	0.6507936507936508	0.746031746031746	0.9523809523809523
qwen3.5-9b	algorithm-generated	40	act/23	1	8	base	-	0.0	-	0.23076923076923078	0.4230769230769231	0.7692307692307693	0.8461538461538461	0.4603174603174603	0.6349206349206349	0.7777777777777778	0.9523809523809523
qwen3.5-9b	algorithm-generated	40	act/23	1	9	base	-	0.0	-	0.2692307692307692	0.4230769230769231	0.7692307692307693	0.8846153846153846	0.4603174603174603	0.6349206349206349	0.7777777777777778	0.9523809523809523
