model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
deepseek-8b	arc	17	act/12	0	6	base	-	0.0	-	0.8360655737704918	0.8852459016393442	0.8688524590163934	0.9016393442622951	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9013157894736842
deepseek-8b	arc	17	act/13	0	3	base	-	0.0	-	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	backprop	0-8	0.0	1	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-strong	0-8	0.0	1	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-near	0-8	0.0	1	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	backprop	0-8	0.0	2	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-strong	0-8	0.0	2	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-near	0-8	0.0	2	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	backprop	0-8	0.0	3	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-strong	0-8	0.0	3	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-near	0-8	0.0	3	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	backprop	0-8	0.0	4	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-strong	0-8	0.0	4	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
deepseek-8b	arc	17	act/13	0	3	succ-near	0-8	0.0	4	0.819672131147541	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8881578947368421	0.8881578947368421	0.9078947368421053	0.9144736842105263
