model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	arc	18	act/23	1	3	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8032786885245902	0.9344262295081968	0.8552631578947368	0.9078947368421053	0.875	0.9210526315789473
qwen3.5-9b	arc	18	act/19	1	3	base	-	0.0	-	0.7049180327868853	0.8688524590163934	0.8688524590163934	0.9016393442622951	0.8486842105263158	0.9144736842105263	0.8947368421052632	0.9210526315789473
qwen3.5-9b	arc	18	act/27	1	2	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.7704918032786885	0.8524590163934426	0.8486842105263158	0.9078947368421053	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/7	1	4	base	-	0.0	-	0.6885245901639344	0.8524590163934426	0.8032786885245902	0.8688524590163934	0.8486842105263158	0.9144736842105263	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	ens-mid3	1	3	base	-	0.0	-	0.7049180327868853	0.8688524590163934	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.9144736842105263	0.9013157894736842	0.9210526315789473
qwen3.5-9b	arc	18	embed	1	3	backprop	0-2	0.1	1	0.7704918032786885	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.881578947368421	0.8947368421052632	0.9078947368421053
qwen3.5-9b	arc	18	embed	1	3	succ-strong	0-2	0.1	1	0.7540983606557377	0.8852459016393442	0.819672131147541	0.8852459016393442	0.8486842105263158	0.881578947368421	0.881578947368421	0.9078947368421053
qwen3.5-9b	arc	18	embed	1	3	succ-near	0-2	0.1	1	0.7704918032786885	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.881578947368421	0.8947368421052632	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	backprop	0-2	0.1	2	0.7540983606557377	0.8852459016393442	0.819672131147541	0.8852459016393442	0.8486842105263158	0.881578947368421	0.881578947368421	0.9078947368421053
qwen3.5-9b	arc	18	embed	1	3	succ-strong	0-2	0.1	2	0.7704918032786885	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.881578947368421	0.881578947368421	0.9078947368421053
qwen3.5-9b	arc	18	embed	1	3	succ-near	0-2	0.1	2	0.7704918032786885	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.881578947368421	0.881578947368421	0.9144736842105263
