model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	magentic	svd	15,16,17	act/23	0	2			0.0		0.21014492753623182	0.6159420289855072	0.1481481481481481	0.5185185185185185
qwen3.5-9b	magentic	backprop	15,16,17	act/23	0	2	backprop	6-8	1.0	4	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5185185185185185
qwen3.5-9b	magentic	succ-strong	15,16,17	act/23	0	2	succ-strong	2-4	1.0	1	0.23913043478260868	0.6231884057971014	0.1666666666666666	0.5740740740740741
qwen3.5-9b	magentic	succ-near	15,16,17	act/23	0	2	succ-near	6-8	0.0	all	0.21014492753623182	0.6159420289855072	0.1481481481481481	0.5185185185185185
qwen3.5-9b	captain	svd	22,23,24	act/23	0	3			0.0		0.3333333333333333	0.5813953488372093	0.196078431372549	0.5686274509803922
qwen3.5-9b	captain	backprop	22,23,24	act/23	0	3	backprop	6-8	0.1	5	0.3565891472868217	0.6046511627906976	0.2156862745098039	0.5882352941176471
qwen3.5-9b	captain	succ-strong	22,23,24	act/23	0	3	succ-strong	2-4	0.1	all	0.3565891472868217	0.6046511627906976	0.196078431372549	0.5686274509803922
qwen3.5-9b	captain	succ-near	22,23,24	act/23	0	3	succ-near	6-8	0.1	1	0.3565891472868217	0.6046511627906976	0.2352941176470588	0.6274509803921569
deepseek-8b	magentic	svd	15,16,17	act/10	0	4			0.0		0.2971014492753623	0.6231884057971014	0.1666666666666666	0.5185185185185185
deepseek-8b	magentic	backprop	15,16,17	act/10	0	4	backprop	24-32	0.1	1	0.3043478260869565	0.6231884057971014	0.1851851851851852	0.5185185185185185
deepseek-8b	magentic	succ-strong	15,16,17	act/10	0	4	succ-strong	24-32	0.1	1	0.3115942028985507	0.6304347826086957	0.18518518518518512	0.5370370370370371
deepseek-8b	magentic	succ-near	15,16,17	act/10	0	4	succ-near	24-32	0.6	5	0.3043478260869565	0.6594202898550724	0.18518518518518515	0.5740740740740741
deepseek-8b	captain	svd	22,23,24	act/31_normed	0	18			0.0		0.40310077519379844	0.6356589147286822	0.25490196078431365	0.6078431372549019
deepseek-8b	captain	backprop	22,23,24	act/31_normed	0	18	backprop	8-16	0.2	all	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
deepseek-8b	captain	succ-strong	22,23,24	act/31_normed	0	18	succ-strong	8-16	0.2	all	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
deepseek-8b	captain	succ-near	22,23,24	act/31_normed	0	18	succ-near	8-16	0.2	all	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
