Backbone	Method	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
GPT-4o	All-at-Once	53.44	59.77	78.86	67.44	66.67
GPT-4o	Step-by-Step	30.16	49.43	51.95	47.29	53.62
GPT-4o	Binary Search	58.73	12.64	11.94	20.93	50.72
GPT-4o	CORRECT	54.50	54.02	76.06	66.67	76.09
GPT-4o	CHIEF	40.21	48.28	70.28	60.47	64.49
GPT-4o	RAFFLES	58.73	51.72	78.82	62.79	60.14
GPT-4o	ErrorProbe	56.08	55.17	76.17	58.14	73.19
GPT-5	All-at-Once	61.90	45.98	80.62	63.57	68.12
GPT-5	Step-by-Step	46.56	47.13	70.45	50.39	65.22
GPT-5	Binary Search	59.79	60.92	78.54	56.59	69.57
GPT-5	CORRECT	58.73	50.57	81.22	62.79	69.57
GPT-5	CHIEF	52.38	63.22		51.94	63.04
GPT-5	RAFFLES	58.20	56.32		65.12	74.64
GPT-5	ErrorProbe	64.02	54.02		62.02	76.09
Qwen3.5-9B	All-at-Once	56.61	48.28	81.40	62.79	62.32
Qwen3.5-9B	Step-by-Step	19.05	47.13	35.85	51.16	65.94
Qwen3.5-9B	Binary Search	38.10	62.07	70.70	22.48	59.42
Qwen3.5-9B	CORRECT	59.79	47.13	78.60	62.02	74.64
Qwen3.5-9B	CHIEF	50.26	54.02	74.81	65.12	74.64
Qwen3.5-9B	RAFFLES	60.85	60.92	77.27	65.89	68.84
Qwen3.5-9B	ErrorProbe	53.44	65.52	69.60	55.04	71.01
Qwen3.5-9B	StepFinder	39.26	37.01	60.03	47.75	57.83
Qwen3.5-9B	OAT	40.53	53.10	70.58	46.67	62.03
Qwen3.5-9B	SOAP (w/o rescoring)	52.38	67.82	74.27	58.14	61.59
Qwen3.5-9B	SOAP	60.32	67.82	74.06	60.47	65.22
DeepSeek-R1-Distill-Llama-8B	All-at-Once	42.33	45.98	38.04	54.26	63.04
DeepSeek-R1-Distill-Llama-8B	Step-by-Step	44.97	37.93	15.23	33.33	38.41
DeepSeek-R1-Distill-Llama-8B	Binary Search	28.57	48.28	53.37	44.96	69.57
DeepSeek-R1-Distill-Llama-8B	CORRECT	44.97	32.18	58.67	38.76	60.87
DeepSeek-R1-Distill-Llama-8B	CHIEF	37.04	52.87	56.71	51.16	63.77
DeepSeek-R1-Distill-Llama-8B	RAFFLES	38.10	51.72	54.38	54.26	65.94
DeepSeek-R1-Distill-Llama-8B	ErrorProbe	43.39	47.13	66.42	55.81	53.62
DeepSeek-R1-Distill-Llama-8B	StepFinder	48.99	41.15	67.29	45.12	42.61
DeepSeek-R1-Distill-Llama-8B	OAT	42.33	56.32	69.04	50.08	63.91
DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	58.73	65.52	75.72	63.57	62.32
DeepSeek-R1-Distill-Llama-8B	SOAP	61.90	65.52	75.84	65.12	62.32
