Method	Actual data	Supervised	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Backbone: GPT-4o							
Prompt-based methods							
All-at-Once							
Step-by-Step							
Binary Search							
CORRECT	cmark	cmark					
RAFFLES							
CHIEF							
Backbone: Qwen3.5-9B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	39.15	33.33	61.38	33.33	21.01
SOAP	cmark	xmark	47.62	34.48	61.78	35.66	23.19
Backbone: DeepSeek-R1-Distill-Llama-8B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	38.62	28.74	64.19	40.31	29.71
SOAP	cmark	xmark	45.50	28.74	64.68	42.64	30.43
