Method	Actual data	Supervised	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Backbone: GPT-5							
Prompt-based methods							
All-at-Once			18.52	4.60	64.15	10.85	10.87
Step-by-Step			24.34	18.39	64.38	17.83	6.52
Binary Search			41.80	21.84	75.71	24.03	20.29
CORRECT	cmark	cmark	24.87	13.79	35.20	20.93	23.91
RAFFLES			39.68	35.63		33.33	33.33
CHIEF			27.51	25.29		22.48	16.67
Backbone: Qwen3.5-9B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	39.15	33.33	61.38	33.33	21.01
SOAP	cmark	xmark	47.62	34.48	61.78	35.66	23.19
Backbone: DeepSeek-R1-Distill-Llama-8B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	38.62	28.74	64.19	40.31	29.71
SOAP	cmark	xmark	45.50	28.74	64.68	42.64	30.43
