Method	Actual data	Supervised	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Backbone: GPT-5							
Prompt-based methods							
All-at-Once			17.99	9.20	64.51	10.85	13.77
Step-by-Step			28.04	24.14	66.49	20.16	15.22
Binary Search			47.09	24.14	77.42	31.01	25.36
CORRECT	cmark	cmark	32.80	21.84	38.25	27.13	20.29
RAFFLES			49.21	34.48		36.43	28.99
CHIEF			29.63	18.39		14.73	22.46
Backbone: Qwen3.5-9B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	41.27	33.33	60.30	32.56	15.94
SOAP	cmark	xmark	43.39	34.48	60.59	36.43	21.01
Backbone: DeepSeek-R1-Distill-Llama-8B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	40.21	29.89	64.81	41.09	35.51
SOAP	cmark	xmark	44.97	29.89	65.19	42.64	36.96
