position	pooling	method	c_begin	c_end	centered	weighted	direction	k	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
act/9	mean	proj	0	2	False	False	asc	1	0.5560538116591929	0.7107623318385651	0.5723270440251572	0.7070979335130279
act/12	mean	proj	0	3	False	False	asc	1	0.5224215246636771	0.7040358744394619	0.5678346810422282	0.7349505840071878
act/16	mean	proj	0	5	False	False	asc	1	0.5605381165919282	0.6816143497757847	0.5669362084456424	0.7169811320754716
act/12	mean	proj	0	4	False	False	asc	1	0.5224215246636771	0.7062780269058296	0.5660377358490566	0.7376460017969452
act/12	mean	proj	0	2	False	False	asc	1	0.5336322869955157	0.6973094170403588	0.5651392632524708	0.7169811320754716
act/12	mean	proj	0	5	False	True	asc	1	0.48878923766816146	0.6973094170403588	0.559748427672956	0.7313566936208445
act/12	mean	proj	0	3	False	True	asc	1	0.4977578475336323	0.6995515695067265	0.5588499550763701	0.7250673854447439
act/12	mean	proj	0	2	False	True	asc	1	0.5201793721973094	0.7040358744394619	0.5588499550763701	0.7187780772686433
act/12	mean	proj	0	4	False	True	asc	1	0.5	0.6995515695067265	0.5561545372866128	0.7241689128481581
act/8	mean	proj	0	2	False	False	asc	1	0.5224215246636771	0.6883408071748879	0.5534591194968553	0.7115902964959568
act/16	mean	proj	0	4	False	False	asc	1	0.5381165919282511	0.6771300448430493	0.5516621743036837	0.6900269541778976
act/13	mean	proj	0	4	False	False	asc	1	0.5201793721973094	0.7017937219730942	0.5498652291105122	0.7250673854447439
act/13	mean	proj	0	3	False	False	asc	1	0.5112107623318386	0.7017937219730942	0.5480682839173405	0.7331536388140162
act/12	mean	proj	0	6	False	True	asc	1	0.484304932735426	0.695067264573991	0.5453728661275831	0.7376460017969452
act/12	mean	proj	0	7	False	True	asc	1	0.4820627802690583	0.6928251121076233	0.5444743935309974	0.7367475292003594
act/12	mean	proj	0	16	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5426774483378257	0.7421383647798742
act/12	mean	proj	0	20	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5426774483378257	0.74303683737646
act/12	mean	proj	0	15	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5426774483378257	0.7421383647798742
act/12	mean	proj	0	19	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5426774483378257	0.74303683737646
act/12	mean	proj	0	14	False	True	asc	1	0.4820627802690583	0.6995515695067265	0.5417789757412399	0.7412398921832885
act/12	mean	proj	0	10	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7403414195867026
act/12	mean	proj	0	13	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7403414195867026
act/12	mean	proj	0	11	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7403414195867026
act/12	mean	proj	0	8	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7376460017969452
act/12	mean	proj	0	12	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7403414195867026
act/12	mean	proj	0	17	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7421383647798742
act/12	mean	proj	0	18	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5417789757412399	0.7421383647798742
act/13	mean	proj	0	5	False	False	asc	1	0.484304932735426	0.6905829596412556	0.5417789757412399	0.7394429469901168
act/12	mean	proj	0	9	False	True	asc	1	0.484304932735426	0.6995515695067265	0.5399820305480683	0.738544474393531
act/12	mean	proj	0	5	False	False	asc	1	0.4730941704035874	0.7017937219730942	0.5363881401617251	0.7403414195867026
act/9	mean	proj	0	5	False	False	asc	1	0.4641255605381166	0.695067264573991	0.527403414195867	0.7457322551662174
act/7	mean	proj	0	2	False	False	asc	1	0.4820627802690583	0.6883408071748879	0.5103324348607368	0.6954177897574124
act/13	mean	proj	0	2	False	False	asc	1	0.484304932735426	0.6188340807174888	0.5094339622641509	0.6433063791554358
act/9	mean	proj	0	4	False	False	asc	1	0.4551569506726457	0.695067264573991	0.5076370170709793	0.7394429469901168
act/14	mean	proj	0	3	False	False	asc	1	0.47085201793721976	0.695067264573991	0.5058400718778078	0.7250673854447439
act/9	mean	proj	0	3	False	False	asc	1	0.4439461883408072	0.6928251121076233	0.5058400718778078	0.7376460017969452
act/14	mean	proj	0	4	False	False	asc	1	0.4641255605381166	0.6973094170403588	0.5058400718778078	0.7232704402515723
act/13	mean	proj	0	2	False	True	asc	1	0.4663677130044843	0.7017937219730942	0.49595687331536387	0.7169811320754716
act/16	mean	proj	0	5	False	True	asc	1	0.4820627802690583	0.6569506726457399	0.4914645103324349	0.637915543575921
act/16	mean	proj	0	4	False	True	asc	1	0.48654708520179374	0.6457399103139013	0.48787061994609165	0.6343216531895777
act/28	mean	proj	0	3	True	False	asc	1	0.4461883408071749	0.6367713004484304	0.4833782569631626	0.6963162623539982
act/29	mean	proj	0	3	True	False	asc	1	0.4484304932735426	0.6345291479820628	0.481581311769991	0.6909254267744834
act/10	mean	proj	0	2	False	False	asc	1	0.4641255605381166	0.6973094170403588	0.4797843665768194	0.7151841868823001
act/16	mean	proj	0	12	False	True	asc	1	0.452914798206278	0.6210762331838565	0.47619047619047616	0.6244384546271339
act/16	mean	proj	0	8	False	True	asc	1	0.452914798206278	0.6188340807174888	0.47619047619047616	0.6244384546271339
act/16	mean	proj	0	9	False	True	asc	1	0.4551569506726457	0.6188340807174888	0.4752920035938904	0.6235399820305481
act/14	mean	proj	0	5	False	False	asc	1	0.4103139013452915	0.6928251121076233	0.4752920035938904	0.7403414195867026
act/16	mean	proj	0	11	False	True	asc	1	0.452914798206278	0.6210762331838565	0.4752920035938904	0.6235399820305481
act/16	mean	proj	0	10	False	True	asc	1	0.4551569506726457	0.6233183856502242	0.4752920035938904	0.6235399820305481
act/16	mean	proj	0	16	False	True	asc	1	0.4551569506726457	0.6233183856502242	0.4752920035938904	0.6226415094339622
act/16	mean	proj	0	20	False	True	asc	1	0.452914798206278	0.6233183856502242	0.4743935309973046	0.6226415094339622
act/16	mean	proj	0	7	False	True	asc	1	0.452914798206278	0.6188340807174888	0.4743935309973046	0.6226415094339622
act/16	mean	proj	0	13	False	True	asc	1	0.4551569506726457	0.6233183856502242	0.4743935309973046	0.6226415094339622
act/16	mean	proj	0	17	False	True	asc	1	0.4551569506726457	0.625560538116592	0.4743935309973046	0.6217430368373764
act/16	mean	proj	0	18	False	True	asc	1	0.4551569506726457	0.625560538116592	0.4743935309973046	0.6226415094339622
act/31	mean	proj	1	4	False	False	asc	1	0.44170403587443946	0.6345291479820628	0.4743935309973046	0.6819407008086253
act/16	mean	proj	0	15	False	True	asc	1	0.452914798206278	0.6233183856502242	0.4743935309973046	0.6226415094339622
act/16	mean	proj	0	14	False	True	asc	1	0.452914798206278	0.6210762331838565	0.4743935309973046	0.6235399820305481
act/16	mean	proj	0	19	False	True	asc	1	0.4551569506726457	0.625560538116592	0.4743935309973046	0.6226415094339622
act/16	mean	proj	0	6	False	True	asc	1	0.4551569506726457	0.6233183856502242	0.47349505840071876	0.6217430368373764
act/14	mean	proj	0	2	False	False	asc	1	0.452914798206278	0.600896860986547	0.47349505840071876	0.6190476190476191
act/26	mean	proj	0	3	True	False	asc	1	0.452914798206278	0.6636771300448431	0.472596585804133	0.6936208445642408
act/30	mean	proj	0	3	True	False	asc	1	0.44170403587443946	0.6188340807174888	0.472596585804133	0.6666666666666666
act/27	mean	proj	0	3	True	False	asc	1	0.4327354260089686	0.6278026905829597	0.472596585804133	0.6846361185983828
act/26	mean	proj	0	4	True	False	asc	1	0.45964125560538116	0.6838565022421524	0.4716981132075472	0.688230008984726
act/25	mean	proj	0	3	True	False	asc	1	0.4349775784753363	0.6502242152466368	0.46990116801437554	0.6819407008086253
act/16	mean	proj	0	3	False	False	asc	1	0.45739910313901344	0.5919282511210763	0.46990116801437554	0.601078167115903
act/10	mean	proj	0	5	False	False	asc	1	0.4125560538116592	0.695067264573991	0.46900269541778977	0.7448337825696316
act/31	mean	proj	0	3	True	False	asc	1	0.4439461883408072	0.6143497757847534	0.46720575022461813	0.6648697214734951
act/26	mean	proj	1	4	False	False	asc	1	0.4439461883408072	0.6569506726457399	0.46720575022461813	0.6810422282120395
act/23	mean	proj	0	3	True	False	asc	1	0.4461883408071749	0.6659192825112108	0.46720575022461813	0.6936208445642408
act/28	mean	proj	1	4	False	False	asc	1	0.4349775784753363	0.647982062780269	0.46720575022461813	0.6747529200359389
act/29	mean	proj	1	4	False	False	asc	1	0.4327354260089686	0.6278026905829597	0.46630727762803237	0.6639712488769093
act/31_normed	mean	proj	1	4	False	False	asc	1	0.4282511210762332	0.625560538116592	0.46630727762803237	0.6765498652291105
act/31_normed	mean	proj	0	3	True	False	asc	1	0.4282511210762332	0.6098654708520179	0.46540880503144655	0.6549865229110512
act/26	mean	proj	0	4	True	True	asc	1	0.4461883408071749	0.6502242152466368	0.46451033243486073	0.6810422282120395
act/13	mean	proj	0	5	False	True	asc	1	0.4192825112107623	0.7017937219730942	0.46451033243486073	0.7295597484276729
act/15	mean	proj	0	4	False	False	asc	1	0.42152466367713004	0.6860986547085202	0.46451033243486073	0.701707097933513
act/13	mean	proj	0	4	False	True	asc	1	0.42376681614349776	0.7040358744394619	0.46451033243486073	0.7232704402515723
act/13	mean	proj	0	3	False	True	asc	1	0.4282511210762332	0.7040358744394619	0.4636118598382749	0.7268643306379156
act/22	mean	proj	0	3	True	False	asc	1	0.4349775784753363	0.6748878923766816	0.4636118598382749	0.692722371967655
act/27	mean	proj	0	3	True	True	asc	1	0.4304932735426009	0.6121076233183856	0.4636118598382749	0.6612758310871518
act/28	mean	proj	0	3	True	True	asc	1	0.4260089686098655	0.6076233183856502	0.46271338724168914	0.6549865229110512
act/26	mean	proj	0	3	True	True	asc	1	0.4484304932735426	0.6412556053811659	0.46271338724168914	0.6756513926325247
act/26	mean	proj	0	2	True	False	asc	1	0.4484304932735426	0.6300448430493274	0.4618149146451033	0.6477987421383647
act/25	mean	proj	1	4	False	False	asc	1	0.4327354260089686	0.6412556053811659	0.4618149146451033	0.6585804132973945
act/27	mean	proj	0	4	True	False	asc	1	0.437219730941704	0.6412556053811659	0.4618149146451033	0.6810422282120395
act/16	mean	proj	0	3	False	True	asc	1	0.452914798206278	0.6121076233183856	0.4618149146451033	0.6091644204851752
act/25	mean	proj	0	4	True	False	asc	1	0.4461883408071749	0.6659192825112108	0.4618149146451033	0.6819407008086253
act/31	mean	proj	1	4	False	True	asc	1	0.4327354260089686	0.6210762331838565	0.4609164420485175	0.6756513926325247
act/12	mean	proj	0	1	False	True	asc	1	0.4147982062780269	0.7040358744394619	0.46001796945193174	0.7232704402515723
act/12	mean	proj	0	1	False	False	asc	1	0.4147982062780269	0.7040358744394619	0.46001796945193174	0.7232704402515723
act/13	mean	proj	0	7	False	False	asc	1	0.4103139013452915	0.6905829596412556	0.46001796945193174	0.738544474393531
act/27	mean	proj	1	4	False	False	asc	1	0.4304932735426009	0.6322869955156951	0.4591194968553459	0.6684636118598383
act/23	mean	proj	1	4	False	False	asc	1	0.4484304932735426	0.6704035874439462	0.4573225516621743	0.6657681940700808
act/23	mean	proj	0	4	True	False	asc	1	0.45067264573991034	0.6704035874439462	0.4573225516621743	0.6891284815813118
act/24	mean	proj	0	3	True	False	asc	1	0.4439461883408072	0.6591928251121076	0.4573225516621743	0.6792452830188679
act/24	mean	proj	1	4	False	False	asc	1	0.437219730941704	0.6614349775784754	0.4573225516621743	0.6711590296495957
act/20	mean	proj	0	3	True	False	asc	1	0.4461883408071749	0.6524663677130045	0.4564240790655885	0.6792452830188679
act/27	mean	proj	0	4	True	True	asc	1	0.4327354260089686	0.6165919282511211	0.4564240790655885	0.655884995507637
act/31_normed	mean	proj	1	4	False	True	asc	1	0.4170403587443946	0.600896860986547	0.4555256064690027	0.6675651392632524
act/20	mean	proj	1	4	False	False	asc	1	0.4461883408071749	0.6636771300448431	0.4546271338724169	0.6648697214734951
act/13	mean	proj	0	7	False	True	asc	1	0.4192825112107623	0.7017937219730942	0.4537286612758311	0.7322551662174304
act/24	mean	proj	0	4	True	False	asc	1	0.45067264573991034	0.6636771300448431	0.4528301886792453	0.683737646001797
act/29	mean	proj	0	3	True	True	asc	1	0.42376681614349776	0.6121076233183856	0.4519317160826595	0.6451033243486074
act/13	mean	proj	0	15	False	True	asc	1	0.4103139013452915	0.6995515695067265	0.4519317160826595	0.738544474393531
act/13	mean	proj	0	13	False	True	asc	1	0.4125560538116592	0.695067264573991	0.4519317160826595	0.7376460017969452
act/13	mean	proj	0	14	False	True	asc	1	0.4125560538116592	0.6973094170403588	0.4519317160826595	0.738544474393531
act/13	mean	proj	0	9	False	True	asc	1	0.4147982062780269	0.695067264573991	0.45103324348607365	0.7367475292003594
act/13	mean	proj	0	10	False	True	asc	1	0.4125560538116592	0.695067264573991	0.45103324348607365	0.7358490566037735
act/23	mean	proj	1	5	False	False	asc	1	0.452914798206278	0.6614349775784754	0.45103324348607365	0.6594788858939802
act/23	mean	proj	0	4	True	True	asc	1	0.4439461883408072	0.6704035874439462	0.4501347708894879	0.6720575022461814
act/13	mean	proj	0	12	False	True	asc	1	0.4080717488789238	0.695067264573991	0.4501347708894879	0.7376460017969452
act/13	mean	proj	0	6	False	True	asc	1	0.4125560538116592	0.6973094170403588	0.4501347708894879	0.734052111410602
act/13	mean	proj	0	16	False	True	asc	1	0.4103139013452915	0.7017937219730942	0.4501347708894879	0.738544474393531
act/16	mean	proj	0	2	False	True	asc	1	0.42376681614349776	0.5672645739910314	0.4501347708894879	0.5813117699910153
act/8	mean	proj	0	5	False	False	asc	1	0.3901345291479821	0.6973094170403588	0.44923629829290207	0.7466307277628033
act/22	mean	proj	0	4	True	False	asc	1	0.4484304932735426	0.679372197309417	0.44923629829290207	0.6873315363881402
