model	dataset	subset	convention	stage	n_seeds	step_acc_test_mean	step_acc_test_std	agent_acc_test_mean	agent_acc_test_std
deepseek-8b	correct-full	magentic	val	svd	3	0.5427887492519449	0.01273716137270662	0.7079593058049073	0.007474563732373903
deepseek-8b	correct-full	magentic	val	crr	3	0.5433871932974267	0.010208690669797689	0.6995810891681628	0.009887918397282022
deepseek-8b	correct-full	magentic	test	svd	3	0.5613405146618792	0.012609998507304297	0.7127468581687612	0.009328819430353002
deepseek-8b	correct-full	magentic	test	crr	3	0.566128067025733	0.016968817329452834	0.7151406343506883	0.007474563732373885
deepseek-8b	ww	algorithm-generated	val	svd	3	0.2804232804232804	0.0242464322484436	0.4497354497354496	0.02424643224844359
deepseek-8b	ww	algorithm-generated	val	crr	3	0.2804232804232804	0.06608463490368677	0.4708994708994709	0.04582144993568461
deepseek-8b	ww	algorithm-generated	test	svd	3	0.41798941798941797	0.024246432248443597	0.6084656084656085	0.036657159948547666
deepseek-8b	ww	algorithm-generated	test	crr	3	0.42857142857142855	0.04199605255658077	0.6137566137566138	0.04582144993568455
deepseek-8b	ww	hand-crafted	val	svd	3	0.11494252873563211	0.019908629972056086	0.574712643678161	0.039817259944112136
deepseek-8b	ww	hand-crafted	val	crr	3	0.11494252873563211	0.019908629972056086	0.574712643678161	0.039817259944112136
deepseek-8b	ww	hand-crafted	test	svd	3	0.31034482758620685	0.034482758620689696	0.6206896551724138	0.10344827586206895
deepseek-8b	ww	hand-crafted	test	crr	3	0.3333333333333333	0.019908629972056068	0.6551724137931034	0.12432935432634448
deepseek-8b	traceelephant	magentic	val	svd	3	0.23913043478260865	0.09475867268566683	0.6521739130434783	0.0
deepseek-8b	traceelephant	magentic	val	crr	3	0.25362318840579706	0.06988152725357216	0.644927536231884	0.012551092808470117
deepseek-8b	traceelephant	magentic	test	svd	3	0.3043478260869565	0.021739130434782594	0.6594202898550725	0.03320707025330317
deepseek-8b	traceelephant	magentic	test	crr	3	0.3115942028985507	0.012551092808470117	0.6739130434782609	0.03765327842541035
deepseek-8b	traceelephant	captain	val	svd	3	0.18604651162790695	0.023255813953488358	0.5736434108527132	0.04841083719688683
deepseek-8b	traceelephant	captain	val	crr	3	0.18604651162790695	0.023255813953488358	0.5891472868217054	0.04841083719688683
deepseek-8b	traceelephant	captain	test	svd	3	0.37209302325581395	0.061529100257316074	0.6589147286821705	0.026853500892540717
deepseek-8b	traceelephant	captain	test	crr	3	0.3953488372093023	0.08056050267762219	0.6821705426356589	0.04841083719688679
qwen3.5-9b	correct-full	magentic	val	svd	3	0.5601436265709157	0.003590664272890509	0.7151406343506883	0.007474563732373885
qwen3.5-9b	correct-full	magentic	val	crr	3	0.5613405146618792	0.0027424151376156795	0.7151406343506882	0.009212928975667684
qwen3.5-9b	correct-full	magentic	test	svd	3	0.5601436265709157	0.003590664272890509	0.7151406343506883	0.007474563732373885
qwen3.5-9b	correct-full	magentic	test	crr	3	0.5655296229802513	0.0035906642728904536	0.7175344105326152	0.0067970177687615525
qwen3.5-9b	ww	algorithm-generated	val	svd	3	0.27513227513227506	0.03994621394323149	0.4656084656084655	0.03304231745184338
qwen3.5-9b	ww	algorithm-generated	val	crr	3	0.29100529100529093	0.04849286449688723	0.45502645502645495	0.03994621394323145
qwen3.5-9b	ww	algorithm-generated	test	svd	3	0.40211640211640204	0.018328579974273864	0.5767195767195766	0.009164289987136948
qwen3.5-9b	ww	algorithm-generated	test	crr	3	0.4497354497354497	0.039946213943231446	0.5925925925925926	0.009164289987136885
qwen3.5-9b	ww	hand-crafted	val	svd	3	0.14942528735632182	0.019908629972056086	0.5287356321839081	0.0398172599441121
qwen3.5-9b	ww	hand-crafted	val	crr	3	0.14942528735632182	0.019908629972056086	0.5287356321839081	0.0398172599441121
qwen3.5-9b	ww	hand-crafted	test	svd	3	0.3218390804597701	0.03981725994411217	0.7011494252873564	0.15549137078699632
qwen3.5-9b	ww	hand-crafted	test	crr	3	0.3448275862068966	0.0	0.7011494252873564	0.15549137078699632
qwen3.5-9b	traceelephant	magentic	val	svd	3	0.17391304347826084	0.02173913043478265	0.6594202898550725	0.05470894518312134
qwen3.5-9b	traceelephant	magentic	val	crr	3	0.1304347826086956	0.037653278425410365	0.6811594202898551	0.09802716853962813
qwen3.5-9b	traceelephant	magentic	test	svd	3	0.22463768115942026	0.012551092808470181	0.6159420289855072	0.07634531704965752
qwen3.5-9b	traceelephant	magentic	test	crr	3	0.23913043478260873	3.3993498887762956e-17	0.6666666666666666	0.10723658396339668
qwen3.5-9b	traceelephant	captain	val	svd	3	0.1317829457364341	0.07104768519311379	0.4883720930232558	0.046511627906976716
qwen3.5-9b	traceelephant	captain	val	crr	3	0.20155038759689922	0.05852584833543219	0.5658914728682171	0.07104768519311382
qwen3.5-9b	traceelephant	captain	test	svd	3	0.3565891472868217	0.07104768519311384	0.6201550387596899	0.08167173451823832
qwen3.5-9b	traceelephant	captain	test	crr	3	0.3953488372093023	0.08056050267762221	0.6434108527131783	0.05852584833543216
