position	pooling	method	c_begin	c_end	centered	weighted	direction	k	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
act/10	last	proj	0	20	False	False	asc	1	0.5170556552962298	0.7073608617594255	0.5170556552962298	0.7271095152603232
act/10	last	proj	0	19	False	False	asc	1	0.518850987432675	0.7109515260323159	0.5152603231597845	0.7271095152603232
act/10	last	proj	0	18	False	False	asc	1	0.5242369838420108	0.7091561938958707	0.5152603231597845	0.7271095152603232
act/31_normed	last	proj	0	13	False	False	asc	1	0.49371633752244165	0.6983842010771992	0.5152603231597845	0.7271095152603232
act/8	last	proj	0	16	False	False	asc	1	0.518850987432675	0.7127468581687613	0.5134649910233393	0.7324955116696589
act/8	last	proj	0	12	False	False	asc	1	0.526032315978456	0.718132854578097	0.5134649910233393	0.7324955116696589
act/31_normed	last	proj	0	14	False	False	asc	1	0.5026929982046678	0.6983842010771992	0.5134649910233393	0.7324955116696589
act/31_normed	last	proj	0	12	False	False	asc	1	0.4955116696588869	0.696588868940754	0.5134649910233393	0.725314183123878
act/8	last	proj	0	19	False	False	asc	1	0.518850987432675	0.7091561938958707	0.5134649910233393	0.7289048473967684
act/31_normed	last	proj	0	20	False	False	asc	1	0.5116696588868941	0.696588868940754	0.5116696588868941	0.7360861759425493
act/31_normed	last	proj	0	16	False	False	asc	1	0.5044883303411131	0.7019748653500898	0.5116696588868941	0.7324955116696589
act/8	last	proj	0	11	False	False	asc	1	0.5278276481149012	0.7091561938958707	0.5116696588868941	0.7378815080789947
act/31_normed	last	proj	0	11	False	False	asc	1	0.49730700179533216	0.7019748653500898	0.5116696588868941	0.7307001795332136
act/31_normed	last	proj	0	15	False	False	asc	1	0.5080789946140036	0.7073608617594255	0.5116696588868941	0.7342908438061041
act/31_normed	last	proj	0	19	False	False	asc	1	0.5098743267504489	0.6947935368043088	0.5116696588868941	0.7360861759425493
act/10	last	proj	0	17	False	False	asc	1	0.5170556552962298	0.7073608617594255	0.5116696588868941	0.7271095152603232
act/8	last	proj	0	18	False	False	asc	1	0.5242369838420108	0.7145421903052065	0.5098743267504489	0.7307001795332136
act/31_normed	last	proj	0	18	False	False	asc	1	0.5116696588868941	0.696588868940754	0.5098743267504489	0.7360861759425493
act/10	last	proj	0	16	False	False	asc	1	0.5134649910233393	0.7091561938958707	0.5080789946140036	0.7289048473967684
act/8	last	proj	0	17	False	False	asc	1	0.5224416517055656	0.7127468581687613	0.5080789946140036	0.7307001795332136
act/31_normed	last	proj	0	9	False	False	asc	1	0.5026929982046678	0.6894075403949731	0.5080789946140036	0.7235188509874326
act/10	last	proj	0	14	False	False	asc	1	0.5116696588868941	0.7127468581687613	0.5062836624775583	0.7271095152603232
act/9	last	proj	1	3	False	False	asc	1	0.49730700179533216	0.6409335727109515	0.5062836624775583	0.6804308797127468
act/9	last	proj	1	3	False	True	asc	1	0.49012567324955114	0.6265709156193896	0.5062836624775583	0.6804308797127468
act/8	last	proj	0	15	False	False	asc	1	0.5152603231597845	0.7145421903052065	0.5062836624775583	0.7324955116696589
act/8	last	proj	0	20	False	False	asc	1	0.5170556552962298	0.7109515260323159	0.5044883303411131	0.7289048473967684
act/10	last	proj	0	15	False	False	asc	1	0.5098743267504489	0.7091561938958707	0.5044883303411131	0.7289048473967684
act/10	last	proj	0	13	False	False	asc	1	0.5116696588868941	0.6912028725314183	0.5044883303411131	0.7342908438061041
act/13	last	proj	1	3	False	False	asc	1	0.46858168761220825	0.6193895870736086	0.5044883303411131	0.6732495511669659
act/31_normed	last	proj	0	8	False	False	asc	1	0.5008976660682226	0.6876122082585279	0.5044883303411131	0.725314183123878
act/31_normed	last	proj	0	17	False	False	asc	1	0.5008976660682226	0.7001795332136446	0.5044883303411131	0.7289048473967684
act/9	last	proj	0	14	False	False	asc	1	0.5170556552962298	0.7127468581687613	0.5044883303411131	0.7289048473967684
act/8	last	proj	0	10	False	False	asc	1	0.5206463195691203	0.6983842010771992	0.5026929982046678	0.7396768402154399
act/16	last	proj	0	19	False	False	asc	1	0.4991023339317774	0.7073608617594255	0.5026929982046678	0.7289048473967684
act/9	last	proj	0	15	False	False	asc	1	0.5116696588868941	0.7109515260323159	0.5026929982046678	0.7271095152603232
act/16	last	proj	0	20	False	False	asc	1	0.5008976660682226	0.7055655296229802	0.5026929982046678	0.7289048473967684
act/17	last	proj	0	6	False	False	asc	1	0.5026929982046678	0.6840215439856373	0.5026929982046678	0.7163375224416517
act/9	last	proj	0	19	False	False	asc	1	0.5170556552962298	0.7091561938958707	0.5026929982046678	0.725314183123878
act/17	last	proj	0	5	False	False	asc	1	0.5026929982046678	0.6840215439856373	0.5008976660682226	0.718132854578097
act/16	last	proj	0	5	False	False	asc	1	0.5098743267504489	0.6876122082585279	0.5008976660682226	0.7145421903052065
act/8	last	proj	0	14	False	False	asc	1	0.518850987432675	0.7145421903052065	0.5008976660682226	0.7324955116696589
act/9	last	proj	0	18	False	False	asc	1	0.5206463195691203	0.7109515260323159	0.5008976660682226	0.7289048473967684
act/9	last	proj	0	20	False	False	asc	1	0.5170556552962298	0.7091561938958707	0.5008976660682226	0.725314183123878
act/10	last	proj	0	11	False	False	asc	1	0.5134649910233393	0.6894075403949731	0.5008976660682226	0.7324955116696589
act/9	last	proj	0	13	False	False	asc	1	0.5170556552962298	0.7127468581687613	0.4991023339317774	0.7289048473967684
act/10	last	proj	0	12	False	False	asc	1	0.5080789946140036	0.6912028725314183	0.4991023339317774	0.7324955116696589
act/16	last	proj	0	6	False	False	asc	1	0.5116696588868941	0.6876122082585279	0.4991023339317774	0.7145421903052065
act/8	last	proj	0	13	False	True	asc	1	0.5170556552962298	0.6947935368043088	0.4991023339317774	0.7289048473967684
act/8	last	proj	0	13	False	False	asc	1	0.5152603231597845	0.7145421903052065	0.4991023339317774	0.7342908438061041
