position	pooling	method	c_begin	c_end	centered	weighted	direction	k	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
act/11	last	proj	2	7	False	True	asc	1	0.1724137931034483	0.5517241379310345	0.27586206896551724	0.6896551724137931
act/11	last	proj	2	8	False	False	asc	1	0.06896551724137931	0.5172413793103449	0.27586206896551724	0.6206896551724138
act/11	last	proj	2	9	False	True	asc	1	0.1724137931034483	0.5862068965517241	0.27586206896551724	0.7241379310344828
act/11	last	proj	2	8	False	True	asc	1	0.1724137931034483	0.5517241379310345	0.27586206896551724	0.6551724137931034
act/11	last	proj	2	7	False	False	asc	1	0.06896551724137931	0.4827586206896552	0.27586206896551724	0.6896551724137931
act/23	last	norm_l2	0	0	False	False	asc	1	0.0	0.2413793103448276	0.2413793103448276	0.6551724137931034
act/23	last	proj	11	13	False	True	asc	1	0.10344827586206896	0.5862068965517241	0.2413793103448276	0.7241379310344828
act/6	last	proj	5	19	False	True	asc	1	0.034482758620689655	0.41379310344827586	0.2413793103448276	0.6206896551724138
act/0	last	proj	18	19	False	True	asc	1	0.06896551724137931	0.5172413793103449	0.2413793103448276	0.6551724137931034
act/23	last	proj	11	13	False	False	asc	1	0.10344827586206896	0.5862068965517241	0.2413793103448276	0.7241379310344828
act/0	last	proj	18	19	False	False	asc	1	0.06896551724137931	0.5172413793103449	0.2413793103448276	0.6551724137931034
act/11	last	proj	3	8	False	True	asc	1	0.13793103448275862	0.5517241379310345	0.2413793103448276	0.5862068965517241
act/6	last	proj	19	20	False	True	asc	1	0.06896551724137931	0.5172413793103449	0.2413793103448276	0.7241379310344828
act/6	last	proj	19	20	False	False	asc	1	0.06896551724137931	0.5172413793103449	0.2413793103448276	0.7241379310344828
act/19	last	proj	18	20	True	True	asc	1	0.034482758620689655	0.4827586206896552	0.2413793103448276	0.5517241379310345
act/0	last	proj	17	18	True	True	asc	1	0.10344827586206896	0.5862068965517241	0.2413793103448276	0.6551724137931034
act/19	last	proj	18	20	True	False	asc	1	0.034482758620689655	0.4827586206896552	0.2413793103448276	0.5517241379310345
act/0	last	proj	17	18	True	False	asc	1	0.10344827586206896	0.5862068965517241	0.2413793103448276	0.6551724137931034
act/11	last	proj	4	20	False	True	asc	1	0.1724137931034483	0.6206896551724138	0.2413793103448276	0.7586206896551724
act/10	last	proj	4	7	False	True	asc	1	0.13793103448275862	0.5862068965517241	0.20689655172413793	0.6896551724137931
act/3	last	proj	8	20	True	True	asc	1	0.034482758620689655	0.3103448275862069	0.20689655172413793	0.5172413793103449
act/27	last	proj	8	16	False	True	asc	1	0.034482758620689655	0.4827586206896552	0.20689655172413793	0.5172413793103449
act/10	last	proj	4	7	False	False	asc	1	0.13793103448275862	0.6206896551724138	0.20689655172413793	0.6551724137931034
act/4	last	proj	6	17	False	True	asc	1	0.10344827586206896	0.4827586206896552	0.20689655172413793	0.6206896551724138
act/10	last	proj	4	6	False	False	asc	1	0.06896551724137931	0.5517241379310345	0.20689655172413793	0.6206896551724138
