position	pooling	method	c_begin	c_end	centered	weighted	direction	k	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
act/15	mean	proj	0	2	True	False	asc	1	0.5763016157989228	0.725314183123878	0.5565529622980251	0.7127468581687613
act/15	mean	proj	0	2	True	True	asc	1	0.5763016157989228	0.7235188509874326	0.547576301615799	0.7091561938958707
act/15	mean	proj	0	3	True	True	asc	1	0.5601436265709157	0.7199281867145422	0.5350089766606823	0.7055655296229802
act/15	mean	proj	1	3	False	False	asc	1	0.547576301615799	0.7235188509874326	0.5278276481149012	0.7145421903052065
act/7	mean	proj	0	4	False	False	asc	1	0.5170556552962298	0.696588868940754	0.5242369838420108	0.6983842010771992
act/7	mean	proj	0	3	False	False	asc	1	0.518850987432675	0.696588868940754	0.5242369838420108	0.696588868940754
act/7	mean	proj	0	6	False	False	asc	1	0.5170556552962298	0.6983842010771992	0.5224416517055656	0.7001795332136446
act/7	mean	proj	0	15	False	False	asc	1	0.5134649910233393	0.6983842010771992	0.5224416517055656	0.7055655296229802
act/7	mean	proj	0	13	False	False	asc	1	0.5134649910233393	0.696588868940754	0.5224416517055656	0.7055655296229802
act/7	mean	proj	0	5	False	False	asc	1	0.5170556552962298	0.696588868940754	0.5224416517055656	0.7001795332136446
act/7	mean	proj	0	14	False	False	asc	1	0.5134649910233393	0.696588868940754	0.5224416517055656	0.7055655296229802
act/7	mean	proj	0	7	False	False	asc	1	0.5152603231597845	0.696588868940754	0.5206463195691203	0.7001795332136446
act/7	mean	proj	0	12	False	False	asc	1	0.5134649910233393	0.696588868940754	0.5206463195691203	0.703770197486535
act/7	mean	proj	0	10	False	False	asc	1	0.5152603231597845	0.696588868940754	0.5206463195691203	0.703770197486535
act/7	mean	proj	0	9	False	False	asc	1	0.5134649910233393	0.6947935368043088	0.5206463195691203	0.7019748653500898
act/7	mean	proj	0	11	False	False	asc	1	0.5134649910233393	0.6947935368043088	0.5206463195691203	0.703770197486535
act/7	mean	proj	0	16	False	False	asc	1	0.5134649910233393	0.6983842010771992	0.5206463195691203	0.7055655296229802
act/7	mean	proj	0	8	False	False	asc	1	0.5134649910233393	0.696588868940754	0.5206463195691203	0.7001795332136446
act/7	mean	proj	0	19	False	False	asc	1	0.5098743267504489	0.6983842010771992	0.518850987432675	0.7019748653500898
act/7	mean	proj	0	18	False	False	asc	1	0.5116696588868941	0.6983842010771992	0.518850987432675	0.703770197486535
act/7	mean	proj	0	20	False	False	asc	1	0.5080789946140036	0.6983842010771992	0.518850987432675	0.7019748653500898
act/7	mean	proj	0	17	False	False	asc	1	0.5134649910233393	0.6983842010771992	0.518850987432675	0.703770197486535
act/19	mean	proj	0	2	True	True	asc	1	0.547576301615799	0.7360861759425493	0.5152603231597845	0.7199281867145422
act/15	mean	proj	0	3	True	False	asc	1	0.5493716337522442	0.7163375224416517	0.5152603231597845	0.7001795332136446
act/19	mean	proj	0	2	True	False	asc	1	0.5511669658886894	0.7342908438061041	0.5134649910233393	0.718132854578097
act/7	mean	proj	0	2	False	False	asc	1	0.5152603231597845	0.696588868940754	0.5134649910233393	0.6947935368043088
act/23	mean	proj	0	2	True	False	asc	1	0.5224416517055656	0.7073608617594255	0.5116696588868941	0.7289048473967684
act/23	mean	proj	0	2	True	True	asc	1	0.518850987432675	0.7091561938958707	0.5098743267504489	0.7289048473967684
act/15	mean	proj	1	3	False	True	asc	1	0.5296229802513465	0.7217235188509874	0.5098743267504489	0.7109515260323159
act/27	mean	proj	0	2	True	False	asc	1	0.5206463195691203	0.6894075403949731	0.5098743267504489	0.7235188509874326
act/19	mean	proj	0	3	True	False	asc	1	0.5421903052064632	0.7217235188509874	0.5044883303411131	0.7163375224416517
act/23	mean	proj	0	3	True	True	asc	1	0.5152603231597845	0.6983842010771992	0.5044883303411131	0.7342908438061041
act/19	mean	proj	0	3	True	True	asc	1	0.5493716337522442	0.7289048473967684	0.5044883303411131	0.7145421903052065
act/27	mean	proj	0	2	True	True	asc	1	0.526032315978456	0.6947935368043088	0.5026929982046678	0.7163375224416517
act/7	mean	norm_l2	0	0	False	False	asc	1	0.49730700179533216	0.6840215439856373	0.5008976660682226	0.7001795332136446
act/15	mean	proj	1	4	False	False	asc	1	0.518850987432675	0.7127468581687613	0.4991023339317774	0.7073608617594255
act/27	mean	proj	0	4	True	True	asc	1	0.49730700179533216	0.6876122082585279	0.4991023339317774	0.7235188509874326
act/11	mean	proj	1	3	False	True	asc	1	0.5080789946140036	0.7199281867145422	0.49730700179533216	0.7073608617594255
act/15	mean	proj	1	4	False	True	asc	1	0.526032315978456	0.718132854578097	0.49730700179533216	0.7073608617594255
act/11	mean	proj	1	3	False	False	asc	1	0.5026929982046678	0.7127468581687613	0.49730700179533216	0.7001795332136446
act/27	mean	proj	0	3	True	False	asc	1	0.5026929982046678	0.6876122082585279	0.49730700179533216	0.725314183123878
act/15	mean	proj	0	4	True	True	asc	1	0.5350089766606823	0.7217235188509874	0.4955116696588869	0.703770197486535
act/23	mean	proj	0	4	True	True	asc	1	0.5026929982046678	0.703770197486535	0.4955116696588869	0.7307001795332136
act/23	mean	proj	0	3	True	False	asc	1	0.5062836624775583	0.696588868940754	0.4955116696588869	0.7289048473967684
act/11	mean	proj	0	2	True	True	asc	1	0.5044883303411131	0.7199281867145422	0.49371633752244165	0.7055655296229802
act/11	mean	proj	0	2	True	False	asc	1	0.4991023339317774	0.7163375224416517	0.49371633752244165	0.7019748653500898
act/27	mean	proj	0	3	True	True	asc	1	0.5116696588868941	0.6929982046678635	0.49371633752244165	0.725314183123878
act/3	mean	proj	1	5	False	True	asc	1	0.47755834829443444	0.7109515260323159	0.49371633752244165	0.703770197486535
act/19	mean	proj	1	3	False	False	asc	1	0.5278276481149012	0.7307001795332136	0.4919210053859964	0.7073608617594255
act/27	mean	proj	0	5	True	True	asc	1	0.4955116696588869	0.6822262118491921	0.4919210053859964	0.7235188509874326
act/7	mean	proj	0	5	False	True	asc	1	0.49730700179533216	0.6499102333931778	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	19	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/15	mean	proj	0	5	True	True	asc	1	0.5350089766606823	0.7271095152603232	0.49012567324955114	0.6983842010771992
act/7	mean	proj	0	4	False	True	asc	1	0.49730700179533216	0.6499102333931778	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	20	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	3	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	10	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	2	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	6	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	17	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	16	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
act/7	mean	proj	0	7	False	True	asc	1	0.4955116696588869	0.6481149012567325	0.49012567324955114	0.6373429084380611
