strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/2	last	proj	6	19	True	False		1	test	0.06666666666666667	0.6444444444444445	0.21739130434782608	0.6739130434782609
svd	act/0	last	proj	4	8	True	False		2	test	0.08888888888888889	0.6	0.2608695652173913	0.6086956521739131
svd	act/4	last	proj	15	16	False	False		3	test	0.022222222222222223	0.6666666666666666	0.21739130434782608	0.6956521739130435
svd	act/15	mean	proj	0	11	False	False		1	test	0.3111111111111111	0.6222222222222222	0.30434782608695654	0.6304347826086957
svd	act/14	mean	proj	0	7	False	False		2	test	0.24444444444444444	0.6222222222222222	0.32608695652173914	0.6956521739130435
svd	act/14	mean	proj	0	10	False	False		3	test	0.26666666666666666	0.6444444444444445	0.2826086956521739	0.6521739130434783
svd	act/5	last	proj	2	3	False	False		1	val	0.2222222222222222	0.6	0.10869565217391304	0.5217391304347826
svd	act/8	last	proj	8	19	False	False		2	val	0.2222222222222222	0.6444444444444445	0.13043478260869565	0.5869565217391305
svd	act/4	last	proj	14	18	True	False		3	val	0.24444444444444444	0.6888888888888889	0.10869565217391304	0.5217391304347826
svd	act/13	mean	proj	0	7	False	False		1	val	0.35555555555555557	0.6666666666666666	0.13043478260869565	0.6521739130434783
svd	act/15	mean	proj	0	11	False	False		2	val	0.3111111111111111	0.6444444444444445	0.30434782608695654	0.6521739130434783
svd	act/15	mean	proj	0	11	False	False		3	val	0.3333333333333333	0.6222222222222222	0.2826086956521739	0.6521739130434783
