strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/11	last	proj	13	16	True	False		1	test	0.2413793103448276	0.6551724137931034	0.2413793103448276	0.5862068965517241
svd	act/3	last	proj	15	17	False	False		2	test	0.06896551724137931	0.5172413793103449	0.3448275862068966	0.8620689655172413
svd	act/7	last	proj	12	18	False	False		3	test	0.10344827586206896	0.5517241379310345	0.2413793103448276	0.5172413793103449
svd	act/31_normed	mean	proj	0	1	False	False		1	test	0.1724137931034483	0.5172413793103449	0.3448275862068966	0.6896551724137931
svd	act/31_normed	mean	norm_l2	0	0	False	False		2	test	0.13793103448275862	0.41379310344827586	0.3448275862068966	0.7586206896551724
svd	act/15	mean	proj	8	9	False	False		3	test	0.13793103448275862	0.6206896551724138	0.27586206896551724	0.5517241379310345
svd	act/11	last	proj	13	16	True	False		1	val	0.2413793103448276	0.6551724137931034	0.2413793103448276	0.5862068965517241
svd	act/11	last	proj	11	15	False	False		2	val	0.2413793103448276	0.5862068965517241	0.10344827586206896	0.4482758620689655
svd	act/7	last	proj	17	20	True	False		3	val	0.2413793103448276	0.7241379310344828	0.13793103448275862	0.6206896551724138
svd	act/3	mean	proj	14	16	True	False		1	val	0.27586206896551724	0.6551724137931034	0.13793103448275862	0.5517241379310345
svd	act/11	mean	proj	13	15	True	False		2	val	0.27586206896551724	0.5517241379310345	0.13793103448275862	0.4827586206896552
svd	act/31_normed	mean	proj	0	1	False	False		3	val	0.3448275862068966	0.6551724137931034	0.1724137931034483	0.5517241379310345
